Freq.	V(n001)/I(V1)
1.00000000000000e+01	-9.99999998999996e-04,6.28318529461319e-11
1.12018403680736e+02	-9.99999998999505e-04,7.03832386732500e-10
2.14036807361472e+02	-9.99999998998192e-04,1.34483292051713e-09
3.16055211042208e+02	-9.99999998996056e-04,1.98583345429845e-09
4.18073614722945e+02	-9.99999998993100e-04,2.62683398807487e-09
5.20092018403681e+02	-9.99999998989321e-04,3.26783452184482e-09
6.22110422084417e+02	-9.99999998984721e-04,3.90883505560671e-09
7.24128825765153e+02	-9.99999998979299e-04,4.54983558935896e-09
8.26147229445889e+02	-9.99999998973055e-04,5.19083612310000e-09
9.28165633126625e+02	-9.99999998965990e-04,5.83183665682823e-09
1.03018403680736e+03	-9.99999998958102e-04,6.47283719054210e-09
1.13220244048810e+03	-9.99999998949393e-04,7.11383772424000e-09
1.23422084416883e+03	-9.99999998939863e-04,7.75483825792037e-09
1.33623924784957e+03	-9.99999998929510e-04,8.39583879158162e-09
1.43825765153031e+03	-9.99999998918336e-04,9.03683932522217e-09
1.54027605521104e+03	-9.99999998906340e-04,9.67783985884044e-09
1.64229445889178e+03	-9.99999998893521e-04,1.03188403924349e-08
1.74431286257251e+03	-9.99999998879882e-04,1.09598409260038e-08
1.84633126625325e+03	-9.99999998865420e-04,1.16008414595458e-08
1.94834966993399e+03	-9.99999998850137e-04,1.22418419930591e-08
2.05036807361472e+03	-9.99999998834032e-04,1.28828425265423e-08
2.15238647729546e+03	-9.99999998817106e-04,1.35238430599937e-08
2.25440488097620e+03	-9.99999998799357e-04,1.41648435934118e-08
2.35642328465693e+03	-9.99999998780787e-04,1.48058441267950e-08
2.45844168833767e+03	-9.99999998761395e-04,1.54468446601416e-08
2.56046009201840e+03	-9.99999998741181e-04,1.60878451934502e-08
2.66247849569914e+03	-9.99999998720146e-04,1.67288457267191e-08
2.76449689937988e+03	-9.99999998698288e-04,1.73698462599468e-08
2.86651530306061e+03	-9.99999998675609e-04,1.80108467931316e-08
2.96853370674135e+03	-9.99999998652109e-04,1.86518473262721e-08
3.07055211042209e+03	-9.99999998627786e-04,1.92928478593666e-08
3.17257051410282e+03	-9.99999998602642e-04,1.99338483924135e-08
3.27458891778356e+03	-9.99999998576675e-04,2.05748489254112e-08
3.37660732146430e+03	-9.99999998549888e-04,2.12158494583583e-08
3.47862572514503e+03	-9.99999998522278e-04,2.18568499912530e-08
3.58064412882577e+03	-9.99999998493847e-04,2.24978505240939e-08
3.68266253250650e+03	-9.99999998464593e-04,2.31388510568792e-08
3.78468093618724e+03	-9.99999998434519e-04,2.37798515896076e-08
3.88669933986798e+03	-9.99999998403622e-04,2.44208521222773e-08
3.98871774354871e+03	-9.99999998371903e-04,2.50618526548868e-08
4.09073614722945e+03	-9.99999998339364e-04,2.57028531874346e-08
4.19275455091019e+03	-9.99999998306001e-04,2.63438537199189e-08
4.29477295459092e+03	-9.99999998271818e-04,2.69848542523383e-08
4.39679135827166e+03	-9.99999998236812e-04,2.76258547846912e-08
4.49880976195239e+03	-9.99999998200985e-04,2.82668553169760e-08
4.60082816563313e+03	-9.99999998164336e-04,2.89078558491911e-08
4.70284656931387e+03	-9.99999998126865e-04,2.95488563813350e-08
4.80486497299460e+03	-9.99999998088572e-04,3.01898569134059e-08
4.90688337667534e+03	-9.99999998049458e-04,3.08308574454025e-08
5.00890178035607e+03	-9.99999998009522e-04,3.14718579773231e-08
5.11092018403681e+03	-9.99999997968764e-04,3.21128585091660e-08
5.21293858771755e+03	-9.99999997927185e-04,3.27538590409298e-08
5.31495699139828e+03	-9.99999997884783e-04,3.33948595726129e-08
5.41697539507902e+03	-9.99999997841560e-04,3.40358601042136e-08
5.51899379875975e+03	-9.99999997797515e-04,3.46768606357304e-08
5.62101220244049e+03	-9.99999997752649e-04,3.53178611671617e-08
5.72303060612122e+03	-9.99999997706960e-04,3.59588616985060e-08
5.82504900980196e+03	-9.99999997660450e-04,3.65998622297616e-08
5.92706741348270e+03	-9.99999997613118e-04,3.72408627609270e-08
6.02908581716343e+03	-9.99999997564965e-04,3.78818632920006e-08
6.13110422084417e+03	-9.99999997515989e-04,3.85228638229807e-08
6.23312262452490e+03	-9.99999997466192e-04,3.91638643538660e-08
6.33514102820564e+03	-9.99999997415573e-04,3.98048648846546e-08
6.43715943188638e+03	-9.99999997364132e-04,4.04458654153452e-08
6.53917783556711e+03	-9.99999997311870e-04,4.10868659459360e-08
6.64119623924785e+03	-9.99999997258785e-04,4.17278664764255e-08
6.74321464292858e+03	-9.99999997204879e-04,4.23688670068121e-08
6.84523304660932e+03	-9.99999997150151e-04,4.30098675370944e-08
6.94725145029006e+03	-9.99999997094602e-04,4.36508680672705e-08
7.04926985397079e+03	-9.99999997038230e-04,4.42918685973391e-08
7.15128825765153e+03	-9.99999996981038e-04,4.49328691272985e-08
7.25330666133226e+03	-9.99999996923022e-04,4.55738696571470e-08
7.35532506501300e+03	-9.99999996864186e-04,4.62148701868833e-08
7.45734346869374e+03	-9.99999996804527e-04,4.68558707165056e-08
7.55936187237447e+03	-9.99999996744047e-04,4.74968712460124e-08
7.66138027605521e+03	-9.99999996682745e-04,4.81378717754021e-08
7.76339867973594e+03	-9.99999996620622e-04,4.87788723046731e-08
7.86541708341668e+03	-9.99999996557676e-04,4.94198728338239e-08
7.96743548709741e+03	-9.99999996493909e-04,5.00608733628529e-08
8.06945389077815e+03	-9.99999996429320e-04,5.07018738917584e-08
8.17147229445889e+03	-9.99999996363909e-04,5.13428744205389e-08
8.27349069813962e+03	-9.99999996297677e-04,5.19838749491929e-08
8.37550910182036e+03	-9.99999996230623e-04,5.26248754777187e-08
8.47752750550110e+03	-9.99999996162747e-04,5.32658760061148e-08
8.57954590918183e+03	-9.99999996094049e-04,5.39068765343795e-08
8.68156431286257e+03	-9.99999996024529e-04,5.45478770625114e-08
8.78358271654331e+03	-9.99999995954188e-04,5.51888775905087e-08
8.88560112022404e+03	-9.99999995883025e-04,5.58298781183701e-08
8.98761952390478e+03	-9.99999995811040e-04,5.64708786460938e-08
9.08963792758552e+03	-9.99999995738234e-04,5.71118791736783e-08
9.19165633126625e+03	-9.99999995664605e-04,5.77528797011219e-08
9.29367473494699e+03	-9.99999995590155e-04,5.83938802284232e-08
9.39569313862773e+03	-9.99999995514883e-04,5.90348807555806e-08
9.49771154230847e+03	-9.99999995438789e-04,5.96758812825924e-08
9.59972994598920e+03	-9.99999995361874e-04,6.03168818094570e-08
9.70174834966994e+03	-9.99999995284136e-04,6.09578823361730e-08
9.80376675335068e+03	-9.99999995205578e-04,6.15988828627387e-08
9.90578515703141e+03	-9.99999995126197e-04,6.22398833891526e-08
1.00078035607121e+04	-9.99999995045994e-04,6.28808839154130e-08
1.01098219643929e+04	-9.99999994964970e-04,6.35218844415184e-08
1.02118403680736e+04	-9.99999994883124e-04,6.41628849674672e-08
1.03138587717544e+04	-9.99999994800456e-04,6.48038854932578e-08
1.04158771754351e+04	-9.99999994716967e-04,6.54448860188886e-08
1.05178955791158e+04	-9.99999994632656e-04,6.60858865443581e-08
1.06199139827966e+04	-9.99999994547523e-04,6.67268870696647e-08
1.07219323864773e+04	-9.99999994461567e-04,6.73678875948068e-08
1.08239507901580e+04	-9.99999994374791e-04,6.80088881197828e-08
1.09259691938388e+04	-9.99999994287193e-04,6.86498886445911e-08
1.10279875975195e+04	-9.99999994198773e-04,6.92908891692303e-08
1.11300060012003e+04	-9.99999994109531e-04,6.99318896936985e-08
1.12320244048810e+04	-9.99999994019467e-04,7.05728902179944e-08
1.13340428085617e+04	-9.99999993928582e-04,7.12138907421163e-08
1.14360612122425e+04	-9.99999993836874e-04,7.18548912660626e-08
1.15380796159232e+04	-9.99999993744346e-04,7.24958917898318e-08
1.16400980196039e+04	-9.99999993650995e-04,7.31368923134223e-08
1.17421164232847e+04	-9.99999993556822e-04,7.37778928368324e-08
1.18441348269654e+04	-9.99999993461829e-04,7.44188933600607e-08
1.19461532306461e+04	-9.99999993366012e-04,7.50598938831055e-08
1.20481716343269e+04	-9.99999993269375e-04,7.57008944059653e-08
1.21501900380076e+04	-9.99999993171915e-04,7.63418949286384e-08
1.22522084416884e+04	-9.99999993073634e-04,7.69828954511234e-08
1.23542268453691e+04	-9.99999992974530e-04,7.76238959734185e-08
1.24562452490498e+04	-9.99999992874606e-04,7.82648964955223e-08
1.25582636527306e+04	-9.99999992773859e-04,7.89058970174331e-08
1.26602820564113e+04	-9.99999992672291e-04,7.95468975391495e-08
1.27623004600920e+04	-9.99999992569901e-04,8.01878980606696e-08
1.28643188637728e+04	-9.99999992466689e-04,8.08288985819922e-08
1.29663372674535e+04	-9.99999992362656e-04,8.14698991031155e-08
1.30683556711343e+04	-9.99999992257800e-04,8.21108996240379e-08
1.31703740748150e+04	-9.99999992152123e-04,8.27519001447578e-08
1.32723924784957e+04	-9.99999992045624e-04,8.33929006652738e-08
1.33744108821765e+04	-9.99999991938303e-04,8.40339011855842e-08
1.34764292858572e+04	-9.99999991830161e-04,8.46749017056874e-08
1.35784476895379e+04	-9.99999991721197e-04,8.53159022255819e-08
1.36804660932187e+04	-9.99999991611411e-04,8.59569027452660e-08
1.37824844968994e+04	-9.99999991500803e-04,8.65979032647383e-08
1.38845029005801e+04	-9.99999991389374e-04,8.72389037839970e-08
1.39865213042609e+04	-9.99999991277122e-04,8.78799043030407e-08
1.40885397079416e+04	-9.99999991164049e-04,8.85209048218677e-08
1.41905581116224e+04	-9.99999991050155e-04,8.91619053404765e-08
1.42925765153031e+04	-9.99999990935438e-04,8.98029058588655e-08
1.43945949189838e+04	-9.99999990819900e-04,9.04439063770331e-08
1.44966133226646e+04	-9.99999990703540e-04,9.10849068949777e-08
1.45986317263453e+04	-9.99999990586358e-04,9.17259074126978e-08
1.47006501300260e+04	-9.99999990468354e-04,9.23669079301917e-08
1.48026685337068e+04	-9.99999990349529e-04,9.30079084474579e-08
1.49046869373875e+04	-9.99999990229882e-04,9.36489089644949e-08
1.50067053410683e+04	-9.99999990109413e-04,9.42899094813010e-08
1.51087237447490e+04	-9.99999989988122e-04,9.49309099978746e-08
1.52107421484297e+04	-9.99999989866010e-04,9.55719105142142e-08
1.53127605521105e+04	-9.99999989743076e-04,9.62129110303181e-08
1.54147789557912e+04	-9.99999989619320e-04,9.68539115461849e-08
1.55167973594719e+04	-9.99999989494742e-04,9.74949120618130e-08
1.56188157631527e+04	-9.99999989369342e-04,9.81359125772006e-08
1.57208341668334e+04	-9.99999989243121e-04,9.87769130923463e-08
1.58228525705141e+04	-9.99999989116078e-04,9.94179136072485e-08
1.59248709741949e+04	-9.99999988988213e-04,1.00058914121906e-07
1.60268893778756e+04	-9.99999988859527e-04,1.00699914636316e-07
1.61289077815564e+04	-9.99999988730019e-04,1.01340915150478e-07
1.62309261852371e+04	-9.99999988599689e-04,1.01981915664391e-07
1.63329445889178e+04	-9.99999988468537e-04,1.02622916178052e-07
1.64349629925986e+04	-9.99999988336563e-04,1.03263916691459e-07
1.65369813962793e+04	-9.99999988203768e-04,1.03904917204613e-07
1.66389997999600e+04	-9.99999988070151e-04,1.04545917717510e-07
1.67410182036408e+04	-9.99999987935712e-04,1.05186918230150e-07
1.68430366073215e+04	-9.99999987800452e-04,1.05827918742530e-07
1.69450550110023e+04	-9.99999987664369e-04,1.06468919254649e-07
1.70470734146830e+04	-9.99999987527465e-04,1.07109919766506e-07
1.71490918183637e+04	-9.99999987389739e-04,1.07750920278098e-07
1.72511102220445e+04	-9.99999987251191e-04,1.08391920789426e-07
1.73531286257252e+04	-9.99999987111822e-04,1.09032921300485e-07
1.74551470294059e+04	-9.99999986971631e-04,1.09673921811276e-07
1.75571654330867e+04	-9.99999986830618e-04,1.10314922321797e-07
1.76591838367674e+04	-9.99999986688783e-04,1.10955922832046e-07
1.77612022404481e+04	-9.99999986546127e-04,1.11596923342021e-07
1.78632206441289e+04	-9.99999986402648e-04,1.12237923851721e-07
1.79652390478096e+04	-9.99999986258348e-04,1.12878924361145e-07
1.80672574514904e+04	-9.99999986113227e-04,1.13519924870290e-07
1.81692758551711e+04	-9.99999985967283e-04,1.14160925379155e-07
1.82712942588518e+04	-9.99999985820518e-04,1.14801925887739e-07
1.83733126625326e+04	-9.99999985672930e-04,1.15442926396039e-07
1.84753310662133e+04	-9.99999985524522e-04,1.16083926904056e-07
1.85773494698940e+04	-9.99999985375291e-04,1.16724927411786e-07
1.86793678735748e+04	-9.99999985225239e-04,1.17365927919228e-07
1.87813862772555e+04	-9.99999985074365e-04,1.18006928426381e-07
1.88834046809363e+04	-9.99999984922669e-04,1.18647928933243e-07
1.89854230846170e+04	-9.99999984770151e-04,1.19288929439812e-07
1.90874414882977e+04	-9.99999984616812e-04,1.19929929946088e-07
1.91894598919785e+04	-9.99999984462651e-04,1.20570930452067e-07
1.92914782956592e+04	-9.99999984307668e-04,1.21211930957750e-07
1.93934966993399e+04	-9.99999984151863e-04,1.21852931463134e-07
1.94955151030207e+04	-9.99999983995236e-04,1.22493931968217e-07
1.95975335067014e+04	-9.99999983837788e-04,1.23134932472998e-07
1.96995519103821e+04	-9.99999983679518e-04,1.23775932977476e-07
1.98015703140629e+04	-9.99999983520426e-04,1.24416933481648e-07
1.99035887177436e+04	-9.99999983360513e-04,1.25057933985514e-07
2.00056071214244e+04	-9.99999983199778e-04,1.25698934489072e-07
2.01076255251051e+04	-9.99999983038221e-04,1.26339934992319e-07
2.02096439287858e+04	-9.99999982875842e-04,1.26980935495256e-07
2.03116623324666e+04	-9.99999982712641e-04,1.27621935997879e-07
2.04136807361473e+04	-9.99999982548619e-04,1.28262936500187e-07
2.05156991398280e+04	-9.99999982383775e-04,1.28903937002180e-07
2.06177175435088e+04	-9.99999982218109e-04,1.29544937503854e-07
2.07197359471895e+04	-9.99999982051622e-04,1.30185938005209e-07
2.08217543508703e+04	-9.99999981884312e-04,1.30826938506244e-07
2.09237727545510e+04	-9.99999981716181e-04,1.31467939006955e-07
2.10257911582317e+04	-9.99999981547228e-04,1.32108939507343e-07
2.11278095619125e+04	-9.99999981377453e-04,1.32749940007405e-07
2.12298279655932e+04	-9.99999981206857e-04,1.33390940507139e-07
2.13318463692739e+04	-9.99999981035438e-04,1.34031941006545e-07
2.14338647729547e+04	-9.99999980863198e-04,1.34672941505621e-07
2.15358831766354e+04	-9.99999980690137e-04,1.35313942004364e-07
2.16379015803161e+04	-9.99999980516253e-04,1.35954942502774e-07
2.17399199839969e+04	-9.99999980341548e-04,1.36595943000848e-07
2.18419383876776e+04	-9.99999980166021e-04,1.37236943498586e-07
2.19439567913584e+04	-9.99999979989672e-04,1.37877943995986e-07
2.20459751950391e+04	-9.99999979812502e-04,1.38518944493045e-07
2.21479935987198e+04	-9.99999979634509e-04,1.39159944989763e-07
2.22500120024006e+04	-9.99999979455695e-04,1.39800945486138e-07
2.23520304060813e+04	-9.99999979276059e-04,1.40441945982169e-07
2.24540488097620e+04	-9.99999979095602e-04,1.41082946477853e-07
2.25560672134428e+04	-9.99999978914323e-04,1.41723946973189e-07
2.26580856171235e+04	-9.99999978732221e-04,1.42364947468176e-07
2.27601040208043e+04	-9.99999978549298e-04,1.43005947962812e-07
2.28621224244850e+04	-9.99999978365554e-04,1.43646948457096e-07
2.29641408281657e+04	-9.99999978180987e-04,1.44287948951025e-07
2.30661592318465e+04	-9.99999977995599e-04,1.44928949444599e-07
2.31681776355272e+04	-9.99999977809389e-04,1.45569949937815e-07
2.32701960392079e+04	-9.99999977622358e-04,1.46210950430673e-07
2.33722144428887e+04	-9.99999977434504e-04,1.46851950923170e-07
2.34742328465694e+04	-9.99999977245829e-04,1.47492951415304e-07
2.35762512502501e+04	-9.99999977056332e-04,1.48133951907076e-07
2.36782696539309e+04	-9.99999976866013e-04,1.48774952398482e-07
2.37802880576116e+04	-9.99999976674873e-04,1.49415952889521e-07
2.38823064612924e+04	-9.99999976482910e-04,1.50056953380192e-07
2.39843248649731e+04	-9.99999976290126e-04,1.50697953870493e-07
2.40863432686538e+04	-9.99999976096520e-04,1.51338954360423e-07
2.41883616723346e+04	-9.99999975902093e-04,1.51979954849980e-07
2.42903800760153e+04	-9.99999975706844e-04,1.52620955339161e-07
2.43923984796960e+04	-9.99999975510773e-04,1.53261955827967e-07
2.44944168833768e+04	-9.99999975313880e-04,1.53902956316395e-07
2.45964352870575e+04	-9.99999975116165e-04,1.54543956804443e-07
2.46984536907382e+04	-9.99999974917629e-04,1.55184957292110e-07
2.48004720944190e+04	-9.99999974718270e-04,1.55825957779395e-07
2.49024904980997e+04	-9.99999974518090e-04,1.56466958266295e-07
2.50045089017805e+04	-9.99999974317089e-04,1.57107958752810e-07
