Freq.	V(n001)/I(V1)
1.00000000000000e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.01000200040008e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.02000400080016e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.03000600120024e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.04000800160032e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.05001000200040e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.06001200240048e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.07001400280056e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.08001600320064e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.09001800360072e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.10002000400080e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.11002200440088e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.12002400480096e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.13002600520104e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.14002800560112e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.15003000600120e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.16003200640128e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.17003400680136e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.18003600720144e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.19003800760152e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.20004000800160e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.21004200840168e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.22004400880176e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.23004600920184e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.24004800960192e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.25005001000200e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.26005201040208e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.27005401080216e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.28005601120224e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.29005801160232e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.30006001200240e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.31006201240248e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.32006401280256e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.33006601320264e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.34006801360272e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.35007001400280e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.36007201440288e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.37007401480296e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.38007601520304e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.39007801560312e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.40008001600320e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.41008201640328e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.42008401680336e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.43008601720344e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.44008801760352e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.45009001800360e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.46009201840368e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.47009401880376e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.48009601920384e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.49009801960392e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.50010002000400e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.51010202040408e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.52010402080416e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.53010602120424e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.54010802160432e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.55011002200440e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.56011202240448e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.57011402280456e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.58011602320464e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.59011802360472e+01	-1.00000000000000e+06,-0.00000000000000e+00
1.60012002400480e+01	-1.00000000000000e+06,-0.00000000000000e+00
