Frequenz Impedanz Phase
1.0000000000e+00 4.0020040616e+00 0.0764540836
1.3999879998e+00 4.0020080806e+00 0.1070351283
1.7999759995e+00 4.0020134393e+00 0.1376165018
2.1999639993e+00 4.0020201379e+00 0.1681982981
2.5999519990e+00 4.0020281764e+00 0.1987806110
2.9999399988e+00 4.0020375551e+00 0.2293635345
3.3999279986e+00 4.0020482739e+00 0.2599471627
3.7999159983e+00 4.0020603333e+00 0.2905315896
4.1999039981e+00 4.0020737333e+00 0.3211169092
4.5998919978e+00 4.0020884741e+00 0.3517032155
4.9998799976e+00 4.0021045561e+00 0.3822906026
5.3998679974e+00 4.0021219796e+00 0.4128791648
5.7998559971e+00 4.0021407447e+00 0.4434689960
6.1998439969e+00 4.0021608519e+00 0.4740601905
6.5998319966e+00 4.0021823015e+00 0.5046528425
6.9998199964e+00 4.0022050939e+00 0.5352470462
7.3998079962e+00 4.0022292295e+00 0.5658428961
7.7997959959e+00 4.0022547086e+00 0.5964404864
8.1997839957e+00 4.0022815318e+00 0.6270399115
8.5997719954e+00 4.0023096995e+00 0.6576412659
8.9997599952e+00 4.0023392122e+00 0.6882446441
9.3997479950e+00 4.0023700704e+00 0.7188501406
9.7997359947e+00 4.0024022747e+00 0.7494578501
1.0199723994e+01 4.0024358255e+00 0.7800678673
1.0599711994e+01 4.0024707236e+00 0.8106802869
1.0999699994e+01 4.0025069695e+00 0.8412952037
1.1399687994e+01 4.0025445638e+00 0.8719127126
1.1799675994e+01 4.0025835072e+00 0.9025329086
1.2199663993e+01 4.0026238004e+00 0.9331558867
1.2599651993e+01 4.0026654441e+00 0.9637817420
1.2999639993e+01 4.0027084389e+00 0.9944105696
1.3399627993e+01 4.0027527858e+00 1.0250424650
1.3799615992e+01 4.0027984854e+00 1.0556775234
1.4199603992e+01 4.0028455385e+00 1.0863158403
1.4599591992e+01 4.0028939460e+00 1.1169575112
1.4999579992e+01 4.0029437088e+00 1.1476026317
1.5399567991e+01 4.0029948276e+00 1.1782512977
1.5799555991e+01 4.0030473034e+00 1.2089036048
1.6199543991e+01 4.0031011371e+00 1.2395596491
1.6599531991e+01 4.0031563297e+00 1.2702195266
1.6999519990e+01 4.0032128821e+00 1.3008833335
1.7399507990e+01 4.0032707953e+00 1.3315511659
1.7799495990e+01 4.0033300704e+00 1.3622231203
1.8199483990e+01 4.0033907083e+00 1.3928992931
1.8599471989e+01 4.0034527102e+00 1.4235797810
1.8999459989e+01 4.0035160772e+00 1.4542646806
1.9399447989e+01 4.0035808103e+00 1.4849540889
1.9799435989e+01 4.0036469107e+00 1.5156481027
2.0199423988e+01 4.0037143797e+00 1.5463468193
2.0599411988e+01 4.0037832182e+00 1.5770503358
2.0999399988e+01 4.0038534277e+00 1.6077587496
2.1399387988e+01 4.0039250093e+00 1.6384721582
2.1799375988e+01 4.0039979643e+00 1.6691906592
2.2199363987e+01 4.0040722941e+00 1.6999143506
2.2599351987e+01 4.0041479998e+00 1.7306433301
2.2999339987e+01 4.0042250829e+00 1.7613776960
2.3399327987e+01 4.0043035447e+00 1.7921175464
2.3799315986e+01 4.0043833866e+00 1.8228629797
2.4199303986e+01 4.0044646101e+00 1.8536140945
2.4599291986e+01 4.0045472166e+00 1.8843709895
2.4999279986e+01 4.0046312075e+00 1.9151337636
2.5399267985e+01 4.0047165844e+00 1.9459025159
2.5799255985e+01 4.0048033488e+00 1.9766773455
2.6199243985e+01 4.0048915022e+00 2.0074583519
2.6599231985e+01 4.0049810463e+00 2.0382456345
2.6999219984e+01 4.0050719826e+00 2.0690392933
2.7399207984e+01 4.0051643127e+00 2.0998394280
2.7799195984e+01 4.0052580383e+00 2.1306461387
2.8199183984e+01 4.0053531612e+00 2.1614595259
2.8599171983e+01 4.0054496829e+00 2.1922796899
2.8999159983e+01 4.0055476053e+00 2.2231067314
2.9399147983e+01 4.0056469300e+00 2.2539407514
2.9799135983e+01 4.0057476590e+00 2.2847818508
3.0199123982e+01 4.0058497939e+00 2.3156301310
3.0599111982e+01 4.0059533367e+00 2.3464856934
3.0999099982e+01 4.0060582893e+00 2.3773486398
3.1399087982e+01 4.0061646534e+00 2.4082190720
3.1799075982e+01 4.0062724311e+00 2.4390970920
3.2199063981e+01 4.0063816243e+00 2.4699828024
3.2599051981e+01 4.0064922350e+00 2.5008763056
3.2999039981e+01 4.0066042652e+00 2.5317777043
3.3399027981e+01 4.0067177169e+00 2.5626871016
3.3799015980e+01 4.0068325923e+00 2.5936046007
3.4199003980e+01 4.0069488933e+00 2.6245303051
3.4598991980e+01 4.0070666221e+00 2.6554643184
3.4998979980e+01 4.0071857809e+00 2.6864067447
3.5398967979e+01 4.0073063719e+00 2.7173576880
3.5798955979e+01 4.0074283972e+00 2.7483172528
3.6198943979e+01 4.0075518591e+00 2.7792855437
3.6598931979e+01 4.0076767599e+00 2.8102626658
3.6998919978e+01 4.0078031019e+00 2.8412487241
3.7398907978e+01 4.0079308873e+00 2.8722438241
3.7798895978e+01 4.0080601186e+00 2.9032480715
3.8198883978e+01 4.0081907981e+00 2.9342615722
3.8598871977e+01 4.0083229282e+00 2.9652844325
3.8998859977e+01 4.0084565114e+00 2.9963167589
3.9398847977e+01 4.0085915502e+00 3.0273586582
3.9798835977e+01 4.0087280471e+00 3.0584102373
4.0198823976e+01 4.0088660045e+00 3.0894716037
4.0598811976e+01 4.0090054251e+00 3.1205428649
4.0998799976e+01 4.0091463115e+00 3.1516241289
4.1398787976e+01 4.0092886662e+00 3.1827155038
4.1798775976e+01 4.0094324920e+00 3.2138170982
4.2198763975e+01 4.0095777916e+00 3.2449290208
4.2598751975e+01 4.0097245676e+00 3.2760513807
4.2998739975e+01 4.0098728228e+00 3.3071842873
4.3398727975e+01 4.0100225600e+00 3.3383278503
4.3798715974e+01 4.0101737820e+00 3.3694821798
4.4198703974e+01 4.0103264917e+00 3.4006473860
4.4598691974e+01 4.0104806919e+00 3.4318235796
4.4998679974e+01 4.0106363856e+00 3.4630108715
4.5398667973e+01 4.0107935756e+00 3.4942093732
4.5798655973e+01 4.0109522650e+00 3.5254191961
