Frequenz Impedanz Phase
1.0000000000e+00 4.0020016966e+00 -179.9469297147
1.3999879998e+00 4.0020034453e+00 -179.9257021908
1.7999759995e+00 4.0020057769e+00 -179.9044746201
2.1999639993e+00 4.0020086914e+00 -179.8832469894
2.5999519990e+00 4.0020121888e+00 -179.8620192853
2.9999399988e+00 4.0020162691e+00 -179.8407914945
3.3999279986e+00 4.0020209323e+00 -179.8195636035
3.7999159983e+00 4.0020261786e+00 -179.7983355992
4.1999039981e+00 4.0020320078e+00 -179.7771074681
4.5998919978e+00 4.0020384200e+00 -179.7558791968
4.9998799976e+00 4.0020454152e+00 -179.7346507721
5.3998679974e+00 4.0020529935e+00 -179.7134221805
5.7998559971e+00 4.0020611549e+00 -179.6921934087
6.1998439969e+00 4.0020698994e+00 -179.6709644434
6.5998319966e+00 4.0020792270e+00 -179.6497352711
6.9998199964e+00 4.0020891379e+00 -179.6285058785
7.3998079962e+00 4.0020996319e+00 -179.6072762523
7.7997959959e+00 4.0021107093e+00 -179.5860463790
8.1997839957e+00 4.0021223700e+00 -179.5648162453
8.5997719954e+00 4.0021346140e+00 -179.5435858378
8.9997599952e+00 4.0021474414e+00 -179.5223551431
9.3997479950e+00 4.0021608523e+00 -179.5011241478
9.7997359947e+00 4.0021748467e+00 -179.4798928385
1.0199723994e+01 4.0021894247e+00 -179.4586612019
1.0599711994e+01 4.0022045863e+00 -179.4374292245
1.0999699994e+01 4.0022203316e+00 -179.4161968930
1.1399687994e+01 4.0022366606e+00 -179.3949641938
1.1799675994e+01 4.0022535735e+00 -179.3737311136
1.2199663993e+01 4.0022710702e+00 -179.3524976389
1.2599651993e+01 4.0022891509e+00 -179.3312637564
1.2999639993e+01 4.0023078156e+00 -179.3100294526
1.3399627993e+01 4.0023270644e+00 -179.2887947140
1.3799615992e+01 4.0023468974e+00 -179.2675595272
1.4199603992e+01 4.0023673146e+00 -179.2463238787
1.4599591992e+01 4.0023883162e+00 -179.2250877551
1.4999579992e+01 4.0024099021e+00 -179.2038511429
1.5399567991e+01 4.0024320726e+00 -179.1826140287
1.5799555991e+01 4.0024548277e+00 -179.1613763988
1.6199543991e+01 4.0024781674e+00 -179.1401382399
1.6599531991e+01 4.0025020919e+00 -179.1188995385
1.6999519990e+01 4.0025266013e+00 -179.0976602810
1.7399507990e+01 4.0025516956e+00 -179.0764204539
1.7799495990e+01 4.0025773750e+00 -179.0551800437
1.8199483990e+01 4.0026036396e+00 -179.0339390368
1.8599471989e+01 4.0026304894e+00 -179.0126974198
1.8999459989e+01 4.0026579246e+00 -178.9914551790
1.9399447989e+01 4.0026859453e+00 -178.9702123009
1.9799435989e+01 4.0027145516e+00 -178.9489687720
2.0199423988e+01 4.0027437436e+00 -178.9277245785
2.0599411988e+01 4.0027735215e+00 -178.9064797071
2.0999399988e+01 4.0028038852e+00 -178.8852341440
2.1399387988e+01 4.0028348351e+00 -178.8639878756
2.1799375988e+01 4.0028663711e+00 -178.8427408884
2.2199363987e+01 4.0028984935e+00 -178.8214931686
2.2599351987e+01 4.0029312023e+00 -178.8002447027
2.2999339987e+01 4.0029644976e+00 -178.7789954770
2.3399327987e+01 4.0029983797e+00 -178.7577454779
2.3799315986e+01 4.0030328486e+00 -178.7364946915
2.4199303986e+01 4.0030679045e+00 -178.7152431043
2.4599291986e+01 4.0031035475e+00 -178.6939907026
2.4999279986e+01 4.0031397778e+00 -178.6727374726
2.5399267985e+01 4.0031765955e+00 -178.6514834007
2.5799255985e+01 4.0032140008e+00 -178.6302284730
2.6199243985e+01 4.0032519937e+00 -178.6089726759
2.6599231985e+01 4.0032905745e+00 -178.5877159955
2.6999219984e+01 4.0033297433e+00 -178.5664584181
2.7399207984e+01 4.0033695003e+00 -178.5451999299
2.7799195984e+01 4.0034098456e+00 -178.5239405171
2.8199183984e+01 4.0034507794e+00 -178.5026801659
2.8599171983e+01 4.0034923019e+00 -178.4814188624
2.8999159983e+01 4.0035344131e+00 -178.4601565929
2.9399147983e+01 4.0035771134e+00 -178.4388933433
2.9799135983e+01 4.0036204028e+00 -178.4176291000
3.0199123982e+01 4.0036642816e+00 -178.3963638489
3.0599111982e+01 4.0037087499e+00 -178.3750975761
3.0999099982e+01 4.0037538078e+00 -178.3538302679
3.1399087982e+01 4.0037994557e+00 -178.3325619101
3.1799075982e+01 4.0038456936e+00 -178.3112924889
3.2199063981e+01 4.0038925217e+00 -178.2900219903
3.2599051981e+01 4.0039399403e+00 -178.2687504003
3.2999039981e+01 4.0039879494e+00 -178.2474777049
3.3399027981e+01 4.0040365494e+00 -178.2262038901
3.3799015980e+01 4.0040857405e+00 -178.2049289419
3.4199003980e+01 4.0041355227e+00 -178.1836528461
3.4598991980e+01 4.0041858963e+00 -178.1623755889
3.4998979980e+01 4.0042368616e+00 -178.1410971559
3.5398967979e+01 4.0042884186e+00 -178.1198175333
3.5798955979e+01 4.0043405678e+00 -178.0985367067
3.6198943979e+01 4.0043933091e+00 -178.0772546622
3.6598931979e+01 4.0044466429e+00 -178.0559713855
3.6998919978e+01 4.0045005694e+00 -178.0346868625
3.7398907978e+01 4.0045550888e+00 -178.0134010789
3.7798895978e+01 4.0046102013e+00 -177.9921140206
3.8198883978e+01 4.0046659071e+00 -177.9708256733
3.8598871977e+01 4.0047222065e+00 -177.9495360228
3.8998859977e+01 4.0047790997e+00 -177.9282450548
3.9398847977e+01 4.0048365869e+00 -177.9069527550
3.9798835977e+01 4.0048946683e+00 -177.8856591091
4.0198823976e+01 4.0049533443e+00 -177.8643641027
4.0598811976e+01 4.0050126150e+00 -177.8430677216
4.0998799976e+01 4.0050724807e+00 -177.8217699514
4.1398787976e+01 4.0051329416e+00 -177.8004707775
4.1798775976e+01 4.0051939979e+00 -177.7791701858
4.2198763975e+01 4.0052556500e+00 -177.7578681616
4.2598751975e+01 4.0053178981e+00 -177.7365646905
4.2998739975e+01 4.0053807424e+00 -177.7152597582
4.3398727975e+01 4.0054441831e+00 -177.6939533499
4.3798715974e+01 4.0055082206e+00 -177.6726454514
4.4198703974e+01 4.0055728552e+00 -177.6513360479
4.4598691974e+01 4.0056380870e+00 -177.6300251249
4.4998679974e+01 4.0057039163e+00 -177.6087126679
4.5398667973e+01 4.0057703435e+00 -177.5873986622
4.5798655973e+01 4.0058373687e+00 -177.5660830931
4.6198643973e+01 4.0059049923e+00 -177.5447659461
4.6598631973e+01 4.0059732145e+00 -177.5234472064
4.6998619972e+01 4.0060420357e+00 -177.5021268593
4.7398607972e+01 4.0061114561e+00 -177.4808048901
4.7798595972e+01 4.0061814759e+00 -177.4594812840
4.8198583972e+01 4.0062520956e+00 -177.4381560263
4.8598571971e+01 4.0063233153e+00 -177.4168291021
4.8998559971e+01 4.0063951354e+00 -177.3955004966
4.9398547971e+01 4.0064675561e+00 -177.3741701949
4.9798535971e+01 4.0065405779e+00 -177.3528381822
5.0198523970e+01 4.0066142009e+00 -177.3315044435
5.0598511970e+01 4.0066884255e+00 -177.3101689639
5.0998499970e+01 4.0067632519e+00 -177.2888317285
5.1398487970e+01 4.0068386806e+00 -177.2674927222
5.1798475970e+01 4.0069147118e+00 -177.2461519300
5.2198463969e+01 4.0069913458e+00 -177.2248093369
5.2598451969e+01 4.0070685830e+00 -177.2034649278
5.2998439969e+01 4.0071464236e+00 -177.1821186876
5.3398427969e+01 4.0072248680e+00 -177.1607706012
5.3798415968e+01 4.0073039166e+00 -177.1394206534
5.4198403968e+01 4.0073835696e+00 -177.1180688291
5.4598391968e+01 4.0074638274e+00 -177.0967151130
5.4998379968e+01 4.0075446904e+00 -177.0753594899
5.5398367967e+01 4.0076261588e+00 -177.0540019445
5.5798355967e+01 4.0077082330e+00 -177.0326424615
5.6198343967e+01 4.0077909134e+00 -177.0112810255
5.6598331967e+01 4.0078742003e+00 -176.9899176213
5.6998319966e+01 4.0079580940e+00 -176.9685522334
5.7398307966e+01 4.0080425949e+00 -176.9471848465
5.7798295966e+01 4.0081277035e+00 -176.9258154450
5.8198283966e+01 4.0082134199e+00 -176.9044440134
5.8598271965e+01 4.0082997446e+00 -176.8830705364
5.8998259965e+01 4.0083866780e+00 -176.8616949982
5.9398247965e+01 4.0084742204e+00 -176.8403173834
5.9798235965e+01 4.0085623722e+00 -176.8189376763
6.0198223964e+01 4.0086511338e+00 -176.7975558613
6.0598211964e+01 4.0087405055e+00 -176.7761719227
6.0998199964e+01 4.0088304877e+00 -176.7547858449
6.1398187964e+01 4.0089210809e+00 -176.7333976120
6.1798175964e+01 4.0090122853e+00 -176.7120072083
6.2198163963e+01 4.0091041015e+00 -176.6906146180
6.2598151963e+01 4.0091965297e+00 -176.6692198253
6.2998139963e+01 4.0092895704e+00 -176.6478228142
6.3398127963e+01 4.0093832239e+00 -176.6264235690
6.3798115962e+01 4.0094774908e+00 -176.6050220735
6.4198103962e+01 4.0095723713e+00 -176.5836183120
6.4598091962e+01 4.0096678659e+00 -176.5622122683
6.4998079962e+01 4.0097639750e+00 -176.5408039263
6.5398067961e+01 4.0098606990e+00 -176.5193932702
6.5798055961e+01 4.0099580383e+00 -176.4979802836
6.6198043961e+01 4.0100559934e+00 -176.4765649505
6.6598031961e+01 4.0101545646e+00 -176.4551472546
6.6998019960e+01 4.0102537524e+00 -176.4337271798
6.7398007960e+01 4.0103535573e+00 -176.4123047097
6.7797995960e+01 4.0104539796e+00 -176.3908798281
6.8197983960e+01 4.0105550198e+00 -176.3694525187
6.8597971959e+01 4.0106566784e+00 -176.3480227650
6.8997959959e+01 4.0107589557e+00 -176.3265905506
6.9397947959e+01 4.0108618522e+00 -176.3051558591
6.9797935959e+01 4.0109653684e+00 -176.2837186741
7.0197923958e+01 4.0110695048e+00 -176.2622789789
7.0597911958e+01 4.0111742617e+00 -176.2408367570
7.0997899958e+01 4.0112796396e+00 -176.2193919918
7.1397887958e+01 4.0113856390e+00 -176.1979446667
7.1797875958e+01 4.0114922604e+00 -176.1764947649
7.2197863957e+01 4.0115995042e+00 -176.1550422697
7.2597851957e+01 4.0117073709e+00 -176.1335871644
7.2997839957e+01 4.0118158610e+00 -176.1121294322
7.3397827957e+01 4.0119249749e+00 -176.0906690562
