Frequenz Impedanz Phase
1.0000000000e+00 4.0030175760e+00 -179.0735839058
5.0006001200e+00 4.0278113703e+00 -175.3550417274
9.0012002400e+00 4.0884565713e+00 -171.5899586559
1.3001800360e+01 4.1921538483e+00 -167.7532143294
1.7002400480e+01 4.3517671470e+00 -163.8452123748
2.1003000600e+01 4.5882719443e+00 -159.9149639933
2.5003600720e+01 4.9348358513e+00 -156.0990094467
2.9004200840e+01 5.4431338649e+00 -152.6859111651
3.3004800960e+01 6.1914919218e+00 -150.2200943994
3.7005401080e+01 7.2874492877e+00 -149.6586044598
4.1006001200e+01 8.8239339838e+00 -152.5397266539
4.5006601320e+01 1.0648642462e+01 -160.7469810941
4.9007201440e+01 1.1907618805e+01 -174.4628227715
5.3007801560e+01 1.1630669625e+01 170.7880773682
5.7008401680e+01 1.0327515891e+01 160.1750073633
6.1009001800e+01 8.9669098425e+00 154.3471150813
6.5009601920e+01 7.8892934691e+00 151.7414730299
6.9010202040e+01 7.0919013744e+00 150.9738034178
7.3010802160e+01 6.5045832562e+00 151.2007317871
7.7011402280e+01 6.0655517750e+00 151.9497981883
8.1012002400e+01 5.7308151393e+00 152.9596552978
8.5012602521e+01 5.4704677675e+00 154.0851832116
8.9013202641e+01 5.2642059916e+00 155.2456147287
9.3013802761e+01 5.0980569500e+00 156.3963468557
9.7014402881e+01 4.9622268266e+00 157.5133959680
1.0101500300e+02 4.8497175139e+00 158.5846572388
1.0501560312e+02 4.7554342889e+00 159.6048970365
1.0901620324e+02 4.6756025451e+00 160.5728375741
1.1301680336e+02 4.6073800570e+00 161.4894383394
1.1701740348e+02 4.5485945940e+00 162.3568746596
1.2101800360e+02 4.4975632049e+00 163.1779287333
1.2501860372e+02 4.4529656391e+00 163.9556278449
1.2901920384e+02 4.4137542637e+00 164.6930321555
1.3301980396e+02 4.3790889952e+00 165.3931135859
1.3702040408e+02 4.3482896419e+00 166.0586903020
1.4102100420e+02 4.3208005455e+00 166.6923950512
1.4502160432e+02 4.2961640309e+00 167.2966639102
1.4902220444e+02 4.2740002456e+00 167.8737371025
1.5302280456e+02 4.2539916899e+00 168.4256666943
1.5702340468e+02 4.2358712317e+00 168.9543279471
1.6102400480e+02 4.2194127357e+00 169.4614323409
1.6502460492e+02 4.2044236732e+00 169.9485410624
1.6902520504e+02 4.1907392489e+00 170.4170782441
1.7302580516e+02 4.1782176966e+00 170.8683435523
1.7702640528e+02 4.1667364863e+00 171.3035239162
1.8102700540e+02 4.1561892437e+00 171.7237043114
1.8502760552e+02 4.1464832345e+00 172.1298775843
1.8902820564e+02 4.1375372969e+00 172.5229533490
1.9302880576e+02 4.1292801330e+00 172.9037660084
1.9702940588e+02 4.1216488895e+00 173.2730819684
2.0103000600e+02 4.1145879724e+00 173.6316061130
2.0503060612e+02 4.1080480535e+00 173.9799876112
2.0903120624e+02 4.1019852322e+00 174.3188251228
2.1303180636e+02 4.0963603268e+00 174.6486714647
2.1703240648e+02 4.0911382723e+00 174.9700377956
2.2103300660e+02 4.0862876063e+00 175.2833973706
2.2503360672e+02 4.0817800291e+00 175.5891889133
2.2903420684e+02 4.0775900256e+00 175.8878196461
2.3303480696e+02 4.0736945393e+00 176.1796680168
2.3703540708e+02 4.0700726906e+00 176.4650861551
2.4103600720e+02 4.0667055316e+00 176.7444020870
2.4503660732e+02 4.0635758337e+00 177.0179217354
2.4903720744e+02 4.0606679016e+00 177.2859307273
2.5303780756e+02 4.0579674105e+00 177.5486960310
2.5703840768e+02 4.0554612639e+00 177.8064674390
2.6103900780e+02 4.0531374672e+00 178.0594789141
2.6503960792e+02 4.0509850181e+00 178.3079498128
2.6904020804e+02 4.0489938077e+00 178.5520859977
2.7304080816e+02 4.0471545346e+00 178.7920808515
2.7704140828e+02 4.0454586276e+00 179.0281162013
2.8104200840e+02 4.0438981772e+00 179.2603631631
2.8504260852e+02 4.0424658748e+00 179.4889829140
2.8904320864e+02 4.0411549578e+00 179.7141273982
2.9304380876e+02 4.0399591612e+00 179.9359399753
2.9704440888e+02 4.0388726736e+00 -179.8454439860
3.0104500900e+02 4.0378900980e+00 -179.6298965618
3.0504560912e+02 4.0370064164e+00 -179.4172967713
3.0904620924e+02 4.0362169581e+00 -179.2075301145
3.1304680936e+02 4.0355173708e+00 -179.0004881469
3.1704740948e+02 4.0349035943e+00 -178.7960680863
3.2104800960e+02 4.0343718378e+00 -178.5941724503
3.2504860972e+02 4.0339185576e+00 -178.3947087208
3.2904920984e+02 4.0335404385e+00 -178.1975890342
3.3304980996e+02 4.0332343756e+00 -178.0027298939
3.3705041008e+02 4.0329974586e+00 -177.8100519037
3.4105101020e+02 4.0328269570e+00 -177.6194795213
3.4505161032e+02 4.0327203070e+00 -177.4309408280
3.4905221044e+02 4.0326750989e+00 -177.2443673160
3.5305281056e+02 4.0326890663e+00 -177.0596936899
3.5705341068e+02 4.0327600756e+00 -176.8768576815
3.6105401080e+02 4.0328861169e+00 -176.6957998781
3.6505461092e+02 4.0330652950e+00 -176.5164635613
3.6905521104e+02 4.0332958219e+00 -176.3387945580
3.7305581116e+02 4.0335760093e+00 -176.1627410994
3.7705641128e+02 4.0339042619e+00 -175.9882536908
3.8105701140e+02 4.0342790710e+00 -175.8152849891
3.8505761152e+02 4.0346990093e+00 -175.6437896878
3.8905821164e+02 4.0351627253e+00 -175.4737244099
3.9305881176e+02 4.0356689383e+00 -175.3050476074
3.9705941188e+02 4.0362164342e+00 -175.1377194664
4.0106001200e+02 4.0368040611e+00 -174.9717018188
4.0506061212e+02 4.0374307254e+00 -174.8069580592
4.0906121224e+02 4.0380953886e+00 -174.6434530658
4.1306181236e+02 4.0387970634e+00 -174.4811531280
4.1706241248e+02 4.0395348108e+00 -174.3200258758
4.2106301260e+02 4.0403077374e+00 -174.1600402157
4.2506361272e+02 4.0411149926e+00 -174.0011662684
4.2906421284e+02 4.0419557661e+00 -173.8433753112
4.3306481296e+02 4.0428292854e+00 -173.6866397233
4.3706541308e+02 4.0437348137e+00 -173.5309329340
4.4106601320e+02 4.0446716483e+00 -173.3762293741
4.4506661332e+02 4.0456391180e+00 -173.2225044298
4.4906721344e+02 4.0466365818e+00 -173.0697343993
4.5306781356e+02 4.0476634271e+00 -172.9178964511
