Frequenz Impedanz Phase
1.0000000000e+00 4.0030175760e+00 0.9264160942
5.0006001200e+00 4.0278113703e+00 4.6449582726
9.0012002400e+00 4.0884565713e+00 8.4100413441
1.3001800360e+01 4.1921538483e+00 12.2467856706
1.7002400480e+01 4.3517671470e+00 16.1547876252
2.1003000600e+01 4.5882719443e+00 20.0850360067
2.5003600720e+01 4.9348358513e+00 23.9009905533
2.9004200840e+01 5.4431338649e+00 27.3140888349
3.3004800960e+01 6.1914919218e+00 29.7799056006
3.7005401080e+01 7.2874492877e+00 30.3413955402
4.1006001200e+01 8.8239339838e+00 27.4602733461
4.5006601320e+01 1.0648642462e+01 19.2530189059
4.9007201440e+01 1.1907618805e+01 5.5371772285
5.3007801560e+01 1.1630669625e+01 -9.2119226318
5.7008401680e+01 1.0327515891e+01 -19.8249926367
6.1009001800e+01 8.9669098425e+00 -25.6528849187
6.5009601920e+01 7.8892934691e+00 -28.2585269701
6.9010202040e+01 7.0919013744e+00 -29.0261965822
7.3010802160e+01 6.5045832562e+00 -28.7992682129
7.7011402280e+01 6.0655517750e+00 -28.0502018117
8.1012002400e+01 5.7308151393e+00 -27.0403447022
8.5012602521e+01 5.4704677675e+00 -25.9148167884
8.9013202641e+01 5.2642059916e+00 -24.7543852713
9.3013802761e+01 5.0980569500e+00 -23.6036531443
9.7014402881e+01 4.9622268266e+00 -22.4866040320
1.0101500300e+02 4.8497175139e+00 -21.4153427612
1.0501560312e+02 4.7554342889e+00 -20.3951029635
1.0901620324e+02 4.6756025451e+00 -19.4271624259
1.1301680336e+02 4.6073800570e+00 -18.5105616606
1.1701740348e+02 4.5485945940e+00 -17.6431253404
1.2101800360e+02 4.4975632049e+00 -16.8220712667
1.2501860372e+02 4.4529656391e+00 -16.0443721551
1.2901920384e+02 4.4137542637e+00 -15.3069678445
1.3301980396e+02 4.3790889952e+00 -14.6068864141
1.3702040408e+02 4.3482896419e+00 -13.9413096980
1.4102100420e+02 4.3208005455e+00 -13.3076049488
1.4502160432e+02 4.2961640309e+00 -12.7033360898
1.4902220444e+02 4.2740002456e+00 -12.1262628975
1.5302280456e+02 4.2539916899e+00 -11.5743333057
1.5702340468e+02 4.2358712317e+00 -11.0456720529
1.6102400480e+02 4.2194127357e+00 -10.5385676591
1.6502460492e+02 4.2044236732e+00 -10.0514589376
1.6902520504e+02 4.1907392489e+00 -9.5829217559
1.7302580516e+02 4.1782176966e+00 -9.1316564477
1.7702640528e+02 4.1667364863e+00 -8.6964760838
1.8102700540e+02 4.1561892437e+00 -8.2762956886
1.8502760552e+02 4.1464832345e+00 -7.8701224157
1.8902820564e+02 4.1375372969e+00 -7.4770466510
1.9302880576e+02 4.1292801330e+00 -7.0962339916
1.9702940588e+02 4.1216488895e+00 -6.7269180316
2.0103000600e+02 4.1145879724e+00 -6.3683938870
2.0503060612e+02 4.1080480535e+00 -6.0200123888
2.0903120624e+02 4.1019852322e+00 -5.6811748772
2.1303180636e+02 4.0963603268e+00 -5.3513285353
2.1703240648e+02 4.0911382723e+00 -5.0299622044
2.2103300660e+02 4.0862876063e+00 -4.7166026294
2.2503360672e+02 4.0817800291e+00 -4.4108110867
2.2903420684e+02 4.0775900256e+00 -4.1121803539
2.3303480696e+02 4.0736945393e+00 -3.8203319832
2.3703540708e+02 4.0700726906e+00 -3.5349138449
2.4103600720e+02 4.0667055316e+00 -3.2555979130
2.4503660732e+02 4.0635758337e+00 -2.9820782646
2.4903720744e+02 4.0606679016e+00 -2.7140692727
2.5303780756e+02 4.0579674105e+00 -2.4513039690
2.5703840768e+02 4.0554612639e+00 -2.1935325610
2.6103900780e+02 4.0531374672e+00 -1.9405210859
2.6503960792e+02 4.0509850181e+00 -1.6920501872
2.6904020804e+02 4.0489938077e+00 -1.4479140023
2.7304080816e+02 4.0471545346e+00 -1.2079191485
2.7704140828e+02 4.0454586276e+00 -0.9718837987
2.8104200840e+02 4.0438981772e+00 -0.7396368369
2.8504260852e+02 4.0424658748e+00 -0.5110170860
2.8904320864e+02 4.0411549578e+00 -0.2858726018
2.9304380876e+02 4.0399591612e+00 -0.0640600247
2.9704440888e+02 4.0388726736e+00 0.1545560140
3.0104500900e+02 4.0378900980e+00 0.3701034382
3.0504560912e+02 4.0370064164e+00 0.5827032287
3.0904620924e+02 4.0362169581e+00 0.7924698855
3.1304680936e+02 4.0355173708e+00 0.9995118531
3.1704740948e+02 4.0349035943e+00 1.2039319137
3.2104800960e+02 4.0343718378e+00 1.4058275497
3.2504860972e+02 4.0339185576e+00 1.6052912792
3.2904920984e+02 4.0335404385e+00 1.8024109658
3.3304980996e+02 4.0332343756e+00 1.9972701061
3.3705041008e+02 4.0329974586e+00 2.1899480963
3.4105101020e+02 4.0328269570e+00 2.3805204787
3.4505161032e+02 4.0327203070e+00 2.5690591720
3.4905221044e+02 4.0326750989e+00 2.7556326840
3.5305281056e+02 4.0326890663e+00 2.9403063101
3.5705341068e+02 4.0327600756e+00 3.1231423185
3.6105401080e+02 4.0328861169e+00 3.3042001219
3.6505461092e+02 4.0330652950e+00 3.4835364387
3.6905521104e+02 4.0332958219e+00 3.6612054420
3.7305581116e+02 4.0335760093e+00 3.8372589006
3.7705641128e+02 4.0339042619e+00 4.0117463092
3.8105701140e+02 4.0342790710e+00 4.1847150109
3.8505761152e+02 4.0346990093e+00 4.3562103122
3.8905821164e+02 4.0351627253e+00 4.5262755901
3.9305881176e+02 4.0356689383e+00 4.6949523926
3.9705941188e+02 4.0362164342e+00 4.8622805336
4.0106001200e+02 4.0368040611e+00 5.0282981812
4.0506061212e+02 4.0374307254e+00 5.1930419408
4.0906121224e+02 4.0380953886e+00 5.3565469342
4.1306181236e+02 4.0387970634e+00 5.5188468720
4.1706241248e+02 4.0395348108e+00 5.6799741242
4.2106301260e+02 4.0403077374e+00 5.8399597843
4.2506361272e+02 4.0411149926e+00 5.9988337316
4.2906421284e+02 4.0419557661e+00 6.1566246888
4.3306481296e+02 4.0428292854e+00 6.3133602767
4.3706541308e+02 4.0437348137e+00 6.4690670660
4.4106601320e+02 4.0446716483e+00 6.6237706259
4.4506661332e+02 4.0456391180e+00 6.7774955702
4.4906721344e+02 4.0466365818e+00 6.9302656007
4.5306781356e+02 4.0476634271e+00 7.0821035489
4.5706841368e+02 4.0487190680e+00 7.2330314145
4.6106901380e+02 4.0498029443e+00 7.3830704023
