Frequenz Impedanz Phase
1.0000000000e+01 9.9998026138e+01 -0.3599952627
1.1201840368e+02 9.9753226457e+01 -4.0260232535
2.1403680736e+02 9.9107796262e+01 -7.6593705080
3.1605521104e+02 9.8084698103e+01 -11.2318648069
4.1807361472e+02 9.6718739012e+01 -14.7181340737
5.2009201840e+02 9.5053451650e+01 -18.0965353225
6.2211042208e+02 9.3137572757e+01 -21.3497086590
7.2412882577e+02 9.1021619569e+01 -24.4647547153
8.2614722945e+02 8.8754948587e+01 -27.4330865543
9.2816563313e+02 8.6383516557e+01 -30.2500386277
1.0301840368e+03 8.3948403661e+01 -32.9143247962
1.1322024405e+03 8.1485037901e+01 -35.4274296087
1.2342208442e+03 7.9022989494e+01 -37.7929992761
1.3362392478e+03 7.6586179519e+01 -40.0162778255
1.4382576515e+03 7.4193354543e+01 -42.1036145219
1.5402760552e+03 7.1858704055e+01 -44.0620532296
1.6422944589e+03 6.9592528492e+01 -45.8990036094
1.7443128626e+03 6.7401895304e+01 -47.6219874617
1.8463312663e+03 6.5291245069e+01 -49.2384502004
1.9483496699e+03 6.3262928092e+01 -50.7556263889
2.0503680736e+03 6.1317664725e+01 -52.1804486208
2.1523864773e+03 5.9454930668e+01 -53.5194901396
2.2544048810e+03 5.7673273170e+01 -54.7789330205
2.3564232847e+03 5.5970566249e+01 -55.9645552125
2.4584416883e+03 5.4344213718e+01 -57.0817311008
2.5604600920e+03 5.2791308536e+01 -58.1354414420
2.6624784957e+03 5.1308756284e+01 -59.1302895116
2.7644968994e+03 4.9893369544e+01 -60.0705211029
2.8665153031e+03 4.8541938994e+01 -60.9600466511
2.9685337067e+03 4.7251286038e+01 -61.8024642387
3.0705521104e+03 4.6018300923e+01 -62.6010826168
3.1725705141e+03 4.4839969559e+01 -63.3589436493
3.2745889178e+03 4.3713391611e+01 -64.0788437995
3.3766073215e+03 4.2635791912e+01 -64.7633544238
3.4786257251e+03 4.1604526804e+01 -65.4148407480
3.5806441288e+03 4.0617086697e+01 -66.0354794792
3.6826625325e+03 3.9671095820e+01 -66.6272750541
