Frequenz Impedanz Phase
1.0000000000e+01 9.9996644520e+01 -0.3599885478
1.1201840368e+02 9.9581820161e+01 -4.0166524737
2.1403680736e+02 9.8500522736e+01 -7.5952326028
3.1605521104e+02 9.6822263671e+01 -11.0314926645
4.1807361472e+02 9.4646689557e+01 -14.2726961647
5.2009201840e+02 9.2088898462e+01 -17.2802347294
6.2211042208e+02 8.9265413014e+01 -20.0300562310
7.2412882577e+02 8.6283441448e+01 -22.5113515829
8.2614722945e+02 8.3234407610e+01 -24.7242034355
9.2816563313e+02 8.0191390550e+01 -26.6768694027
1.0301840368e+03 7.7209424763e+01 -28.3831874962
1.1322024405e+03 7.4327496731e+01 -29.8603745782
1.2342208442e+03 7.1571284494e+01 -31.1273131464
1.3362392478e+03 6.8955999530e+01 -32.2033102929
1.4382576515e+03 6.6488972521e+01 -33.1072576293
1.5402760552e+03 6.4171828369e+01 -33.8571042874
1.6422944589e+03 6.2002221050e+01 -34.4695596825
1.7443128626e+03 5.9975164483e+01 -34.9599564647
1.8463312663e+03 5.8084022553e+01 -35.3422198748
1.9483496699e+03 5.6321226403e+01 -35.6289041119
2.0503680736e+03 5.4678781346e+01 -35.8312680355
2.1523864773e+03 5.3148615786e+01 -35.9593714406
2.2544048810e+03 5.1722813970e+01 -36.0221796263
2.3564232847e+03 5.0393764828e+01 -36.0276685322
2.4584416883e+03 4.9154251167e+01 -35.9829258236
2.5604600920e+03 4.7997497202e+01 -35.8942453791
2.6624784957e+03 4.6917187481e+01 -35.7672139735
2.7644968994e+03 4.5907466650e+01 -35.6067897961
2.8665153031e+03 4.4962926768e+01 -35.4173729509
2.9685337067e+03 4.4078586913e+01 -35.2028683778
3.0705521104e+03 4.3249868368e+01 -34.9667417810
3.1725705141e+03 4.2472567664e+01 -34.7120692084
3.2745889178e+03 4.1742828988e+01 -34.4415809302
3.3766073215e+03 4.1057116991e+01 -34.1577002387
3.4786257251e+03 4.0412190596e+01 -33.8625777454
3.5806441288e+03 3.9805078220e+01 -33.5581216998
3.6826625325e+03 3.9233054594e+01 -33.2460248031
3.7846809362e+03 3.8693619275e+01 -32.9277879345
3.8866993399e+03 3.8184476850e+01 -32.6047411620
3.9887177435e+03 3.7703518792e+01 -32.2780623631
4.0907361472e+03 3.7248806879e+01 -31.9487937431
4.1927545509e+03 3.6818558094e+01 -31.6178565003
4.2947729546e+03 3.6411130887e+01 -31.2860638593
4.3967913583e+03 3.6025012705e+01 -30.9541326634
4.4988097620e+03 3.5658808670e+01 -30.6226936955
4.6008281656e+03 3.5311231317e+01 -30.2923008735
