Frequenz Impedanz Phase
1.0000000000e+01 9.9999999900e-04 179.9999964000
1.1201840368e+02 9.9999999900e-04 179.9999596734
2.1403680736e+02 9.9999999900e-04 179.9999229467
3.1605521104e+02 9.9999999900e-04 179.9998862201
4.1807361472e+02 9.9999999900e-04 179.9998494935
5.2009201840e+02 9.9999999899e-04 179.9998127669
6.2211042208e+02 9.9999999899e-04 179.9997760402
7.2412882577e+02 9.9999999899e-04 179.9997393136
8.2614722945e+02 9.9999999899e-04 179.9997025870
9.2816563313e+02 9.9999999898e-04 179.9996658604
1.0301840368e+03 9.9999999898e-04 179.9996291337
1.1322024405e+03 9.9999999897e-04 179.9995924071
1.2342208442e+03 9.9999999897e-04 179.9995556805
1.3362392478e+03 9.9999999896e-04 179.9995189539
1.4382576515e+03 9.9999999896e-04 179.9994822272
1.5402760552e+03 9.9999999895e-04 179.9994455006
1.6422944589e+03 9.9999999895e-04 179.9994087740
1.7443128626e+03 9.9999999894e-04 179.9993720474
1.8463312663e+03 9.9999999893e-04 179.9993353207
1.9483496699e+03 9.9999999893e-04 179.9992985941
2.0503680736e+03 9.9999999892e-04 179.9992618675
2.1523864773e+03 9.9999999891e-04 179.9992251409
2.2544048810e+03 9.9999999890e-04 179.9991884142
2.3564232847e+03 9.9999999889e-04 179.9991516876
2.4584416883e+03 9.9999999888e-04 179.9991149610
2.5604600920e+03 9.9999999887e-04 179.9990782344
2.6624784957e+03 9.9999999886e-04 179.9990415077
2.7644968994e+03 9.9999999885e-04 179.9990047811
2.8665153031e+03 9.9999999884e-04 179.9989680545
2.9685337067e+03 9.9999999883e-04 179.9989313279
3.0705521104e+03 9.9999999881e-04 179.9988946012
3.1725705141e+03 9.9999999880e-04 179.9988578746
3.2745889178e+03 9.9999999879e-04 179.9988211480
3.3766073215e+03 9.9999999877e-04 179.9987844214
3.4786257251e+03 9.9999999876e-04 179.9987476947
3.5806441288e+03 9.9999999875e-04 179.9987109681
3.6826625325e+03 9.9999999873e-04 179.9986742415
3.7846809362e+03 9.9999999872e-04 179.9986375149
3.8866993399e+03 9.9999999870e-04 179.9986007882
3.9887177435e+03 9.9999999869e-04 179.9985640616
