Frequenz Impedanz Phase
1.0000000000e+01 6.2834413159e-01 89.9087650145
1.1201840368e+02 7.0733284334e+00 89.9823883906
2.1403680736e+02 1.3695102092e+01 89.9312485238
3.1605521104e+02 2.0666741180e+01 89.7873451752
4.1807361472e+02 2.8185410301e+01 89.5015019362
5.2009201840e+02 3.6487415590e+01 89.0125551966
6.2211042208e+02 4.5867776666e+01 88.2426902925
7.2412882577e+02 5.6706096896e+01 87.0890899687
8.2614722945e+02 6.9499562766e+01 85.4111777251
9.2816563313e+02 8.4899034634e+01 83.0113531361
1.0301840368e+03 1.0372655336e+02 79.6069899419
1.1322024405e+03 1.2689730384e+02 74.7949941419
1.2342208442e+03 1.5502117023e+02 68.0278892749
1.3362392478e+03 1.8719342938e+02 58.6791346366
1.4382576515e+03 2.1865516141e+02 46.3891517295
1.5402760552e+03 2.3979952533e+02 31.8073578156
1.6422944589e+03 2.4259942171e+02 16.9607610285
1.7443128626e+03 2.2936878072e+02 4.0598552266
1.8463312663e+03 2.0894317433e+02 -5.9526908940
1.9483496699e+03 1.8806311713e+02 -13.2972904812
2.0503680736e+03 1.6953329816e+02 -18.5854307482
2.1523864773e+03 1.5392550512e+02 -22.3884516481
2.2544048810e+03 1.4098444619e+02 -25.1342332672
2.3564232847e+03 1.3025704280e+02 -27.1222459355
2.4584416883e+03 1.2130886767e+02 -28.5591712765
2.5604600920e+03 1.1377955618e+02 -29.5886790849
2.6624784957e+03 1.0738474788e+02 -30.3121856287
2.7644968994e+03 1.0190368353e+02 -30.8025793107
2.8665153031e+03 9.7165302948e+01 -31.1132020521
2.9685337067e+03 9.3036424853e+01 -31.2837654775
3.0705521104e+03 8.9412544823e+01 -31.3443024353
3.1725705141e+03 8.6210908713e+01 -31.3178507744
3.2745889178e+03 8.3365359016e+01 -31.2223082609
3.3766073215e+03 8.0822504908e+01 -31.0717369334
3.4786257251e+03 7.8538864421e+01 -30.8772956019
3.5806441288e+03 7.6478717528e+01 -30.6479169814
3.6826625325e+03 7.4612480157e+01 -30.3908066149
3.7846809362e+03 7.2915462000e+01 -30.1118155066
3.8866993399e+03 7.1366909063e+01 -29.8157219545
3.9887177435e+03 6.9949259220e+01 -29.5064472008
4.0907361472e+03 6.8647558399e+01 -29.1872222271
4.1927545509e+03 6.7448998991e+01 -28.8607180489
4.2947729546e+03 6.6342551994e+01 -28.5291484348
4.3967913583e+03 6.5318671665e+01 -28.1943515744
4.4988097620e+03 6.4369056694e+01 -27.8578555171
4.6008281656e+03 6.3486455761e+01 -27.5209309866
4.7028465693e+03 6.2664508233e+01 -27.1846342897
4.8048649730e+03 6.1897612834e+01 -26.8498423904
4.9068833767e+03 6.1180818768e+01 -26.5172817436
5.0089017804e+03 6.0509734950e+01 -26.1875521193
5.1109201840e+03 5.9880453953e+01 -25.8611463845
5.2129385877e+03 5.9289487961e+01 -25.5384669988
5.3149569914e+03 5.8733714594e+01 -25.2198398261
5.4169753951e+03 5.8210330861e+01 -24.9055257419
5.5189937988e+03 5.7716813880e+01 -24.5957304207
5.6210122024e+03 5.7250887222e+01 -24.2906126148
5.7230306061e+03 5.6810491958e+01 -23.9902911764
5.8250490098e+03 5.6393761684e+01 -23.6948510297
5.9270674135e+03 5.5999000881e+01 -23.4043482605
6.0290858172e+03 5.5624666107e+01 -23.1188144648
6.1311042208e+03 5.5269349617e+01 -22.8382604689
6.2331226245e+03 5.4931765023e+01 -22.5626795185
6.3351410282e+03 5.4610734735e+01 -22.2920500166
6.4371594319e+03 5.4305178908e+01 -22.0263378761
6.5391778356e+03 5.4014105707e+01 -21.7654985435
6.6411962392e+03 5.3736602696e+01 -21.5094787423
6.7432146429e+03 5.3471829211e+01 -21.2582179741
6.8452330466e+03 5.3219009591e+01 -21.0116498129
6.9472514503e+03 5.2977427145e+01 -20.7697030211
7.0492698540e+03 5.2746418784e+01 -20.5323025105
7.1512882577e+03 5.2525370208e+01 -20.2993701721
7.2533066613e+03 5.2313711611e+01 -20.0708255890
7.3553250650e+03 5.2110913814e+01 -19.8465866515
7.4573434687e+03 5.1916484798e+01 -19.6265700850
7.5593618724e+03 5.1729966581e+01 -19.4106919032
7.6613802761e+03 5.1550932394e+01 -19.1988677965
7.7633986797e+03 5.1378984137e+01 -18.9910134640
7.8654170834e+03 5.1213750075e+01 -18.7870448961
7.9674354871e+03 5.1054882747e+01 -18.5868786151
8.0694538908e+03 5.0902057070e+01 -18.3904318777
8.1714722945e+03 5.0754968615e+01 -18.1976228463
8.2734906981e+03 5.0613332038e+01 -18.0083707310
8.3755091018e+03 5.0476879648e+01 -17.8225959086
8.4775275055e+03 5.0345360103e+01 -17.6402200187
8.5795459092e+03 5.0218537214e+01 -17.4611660430
8.6815643129e+03 5.0096188857e+01 -17.2853583670
8.7835827165e+03 4.9978105966e+01 -17.1127228288
8.8856011202e+03 4.9864091623e+01 -16.9431867555
8.9876195239e+03 4.9753960207e+01 -16.7766789893
9.0896379276e+03 4.9647536625e+01 -16.6131299040
9.1916563313e+03 4.9544655599e+01 -16.4524714144
9.2936747349e+03 4.9445161004e+01 -16.2946369790
9.3956931386e+03 4.9348905267e+01 -16.1395615962
9.4977115423e+03 4.9255748805e+01 -15.9871817962
9.5997299460e+03 4.9165559512e+01 -15.8374356290
9.7017483497e+03 4.9078212275e+01 -15.6902626480
9.8037667534e+03 4.8993588538e+01 -15.5456038913
9.9057851570e+03 4.8911575888e+01 -15.4034018604
1.0007803561e+04 4.8832067676e+01 -15.2636004965
1.0109821964e+04 4.8754962664e+01 -15.1261451559
1.0211840368e+04 4.8680164698e+01 -14.9909825829
1.0313858772e+04 4.8607582403e+01 -14.8580608826
1.0415877175e+04 4.8537128899e+01 -14.7273294927
1.0517895579e+04 4.8468721538e+01 -14.5987391543
1.0619913983e+04 4.8402281656e+01 -14.4722418826
1.0721932386e+04 4.8337734348e+01 -14.3477909376
1.0823950790e+04 4.8275008248e+01 -14.2253407940
1.0925969194e+04 4.8214035333e+01 -14.1048471116
1.1027987598e+04 4.8154750738e+01 -13.9862667061
1.1130006001e+04 4.8097092575e+01 -13.8695575192
1.1232024405e+04 4.8041001777e+01 -13.7546785900
1.1334042809e+04 4.7986421938e+01 -13.6415900261
1.1436061212e+04 4.7933299175e+01 -13.5302529752
1.1538079616e+04 4.7881581991e+01 -13.4206295973
1.1640098020e+04 4.7831221150e+01 -13.3126830374
1.1742116423e+04 4.7782169557e+01 -13.2063773986
1.1844134827e+04 4.7734382148e+01 -13.1016777156
1.1946153231e+04 4.7687815787e+01 -12.9985499293
1.2048171634e+04 4.7642429164e+01 -12.8969608612
1.2150190038e+04 4.7598182705e+01 -12.7968781891
1.2252208442e+04 4.7555038487e+01 -12.6982704229
1.2354226845e+04 4.7512960151e+01 -12.6011068810
1.2456245249e+04 4.7471912828e+01 -12.5053576680
1.2558263653e+04 4.7431863067e+01 -12.4109936520
1.2660282056e+04 4.7392778765e+01 -12.3179864428
1.2762300460e+04 4.7354629101e+01 -12.2263083715
1.2864318864e+04 4.7317384476e+01 -12.1359324692
1.2966337267e+04 4.7281016458e+01 -12.0468324475
1.3068355671e+04 4.7245497721e+01 -11.9589826793
1.3170374075e+04 4.7210801999e+01 -11.8723581792
1.3272392478e+04 4.7176904034e+01 -11.7869345863
1.3374410882e+04 4.7143779533e+01 -11.7026881454
1.3476429286e+04 4.7111405119e+01 -11.6195956904
