Frequenz Impedanz Phase
1.0000000000e+01 5.0003730377e+01 -179.4600927632
1.1201840368e+02 5.0653974935e+01 -174.0180544401
2.1403680736e+02 5.2383856359e+01 -168.8966362464
3.1605521104e+02 5.5174978346e+01 -164.3449254552
4.1807361472e+02 5.9003464903e+01 -160.5494168981
5.2009201840e+02 6.3842806630e+01 -157.6346347331
6.2211042208e+02 6.9659925114e+01 -155.6774064381
7.2412882577e+02 7.6401023033e+01 -154.7239964454
8.2614722945e+02 8.3965166988e+01 -154.8019625922
9.2816563313e+02 9.2166021848e+01 -155.9224360713
1.0301840368e+03 1.0068830378e+02 -158.0714131841
1.1322024405e+03 1.0905752465e+02 -161.1914921173
1.2342208442e+03 1.1665571709e+02 -165.1601082207
1.3362392478e+03 1.2281543058e+02 -169.7764071716
1.4382576515e+03 1.2698680251e+02 -174.7712249100
1.5402760552e+03 1.2890639479e+02 -179.8457265298
1.6422944589e+03 1.2866683333e+02 175.2743354943
1.7443128626e+03 1.2664659817e+02 170.7939269682
1.8463312663e+03 1.2335690248e+02 166.8313477810
1.9483496699e+03 1.1929782921e+02 163.4272544809
2.0503680736e+03 1.1487565556e+02 160.5671930962
2.1523864773e+03 1.1038025362e+02 158.2050694603
2.2544048810e+03 1.0599776453e+02 156.2811392746
2.3564232847e+03 1.0183569615e+02 154.7333900757
2.4584416883e+03 9.7947604913e+01 153.5036576187
2.5604600920e+03 9.4352596946e+01 152.5402960147
2.6624784957e+03 9.1049117419e+01 151.7988721349
2.7644968994e+03 8.8024066190e+01 151.2418563480
2.8665153031e+03 8.5258547262e+01 150.8378808169
2.9685337067e+03 8.2731356303e+01 150.5608722215
3.0705521104e+03 8.0421011986e+01 150.3892090909
3.1725705141e+03 7.8306877442e+01 150.3049675975
3.2745889178e+03 7.6369726913e+01 150.2932750769
3.3766073215e+03 7.4591982393e+01 150.3417692128
3.4786257251e+03 7.2957759908e+01 150.4401518583
3.5806441288e+03 7.1452810918e+01 150.5798237288
3.6826625325e+03 7.0064410359e+01 150.7535864090
3.7846809362e+03 6.8781221796e+01 150.9553995401
3.8866993399e+03 6.7593157236e+01 151.1801828582
3.9887177435e+03 6.6491241283e+01 151.4236545255
4.0907361472e+03 6.5467484614e+01 151.6821987795
4.1927545509e+03 6.4514768921e+01 151.9527572705
4.2947729546e+03 6.3626743873e+01 152.2327395613
4.3967913583e+03 6.2797735772e+01 152.5199491653
4.4988097620e+03 6.2022667075e+01 152.8125222152
4.6008281656e+03 6.1296985791e+01 153.1088764331
4.7028465693e+03 6.0616603694e+01 153.4076685290
4.8048649730e+03 5.9977842311e+01 153.7077585190
4.9068833767e+03 5.9377385730e+01 154.0081797446
5.0089017804e+03 5.8812239365e+01 154.3081136059
5.1109201840e+03 5.8279693886e+01 154.6068682050
5.2129385877e+03 5.7777293657e+01 154.9038602440
5.3149569914e+03 5.7302809061e+01 155.1985996423
5.4169753951e+03 5.6854212219e+01 155.4906764307
5.5189937988e+03 5.6429655637e+01 155.7797495605
5.6210122024e+03 5.6027453412e+01 156.0655373254
5.7230306061e+03 5.5646064645e+01 156.3478091471
5.8250490098e+03 5.5284078796e+01 156.6263785171
5.9270674135e+03 5.4940202711e+01 156.9010969211
6.0290858172e+03 5.4613249128e+01 157.1718485993
6.1311042208e+03 5.4302126457e+01 157.4385460225
6.2331226245e+03 5.4005829694e+01 157.7011259786
6.3351410282e+03 5.3723432318e+01 157.9595461843
6.4371594319e+03 5.3454079058e+01 158.2137823472
6.5391778356e+03 5.3196979419e+01 158.4638256168
6.6411962392e+03 5.2951401889e+01 158.7096803689
6.7432146429e+03 5.2716668736e+01 158.9513622806
6.8452330466e+03 5.2492151332e+01 159.1888966550
6.9472514503e+03 5.2277265944e+01 159.4223169633
7.0492698540e+03 5.2071469942e+01 159.6516635747
7.1512882577e+03 5.1874258376e+01 159.8769826509
7.2533066613e+03 5.1685160871e+01 160.0983251824
7.3553250650e+03 5.1503738833e+01 160.3157461492
7.4573434687e+03 5.1329582899e+01 160.5293037902
7.5593618724e+03 5.1162310632e+01 160.7390589660
7.6613802761e+03 5.1001564424e+01 160.9450746063
7.7633986797e+03 5.0847009584e+01 161.1474152273
7.8654170834e+03 5.0698332597e+01 161.3461465141
7.9674354871e+03 5.0555239538e+01 161.5413349578
8.0694538908e+03 5.0417454619e+01 161.7330475411
8.1714722945e+03 5.0284718864e+01 161.9213514670
8.2734906981e+03 5.0156788892e+01 162.1063139240
8.3755091018e+03 5.0033435804e+01 162.2880018847
8.4775275055e+03 4.9914444161e+01 162.4664819332
8.5795459092e+03 4.9799611045e+01 162.6418201175
8.6815643129e+03 4.9688745196e+01 162.8140818237
8.7835827165e+03 4.9581666218e+01 162.9833316706
8.8856011202e+03 4.9478203845e+01 163.1496334204
8.9876195239e+03 4.9378197269e+01 163.3130499047
9.0896379276e+03 4.9281494511e+01 163.4736429639
9.1916563313e+03 4.9187951854e+01 163.6314733979
9.2936747349e+03 4.9097433301e+01 163.7866009264
9.3956931386e+03 4.9009810090e+01 163.9390841586
9.4977115423e+03 4.8924960234e+01 164.0889805706
9.5997299460e+03 4.8842768095e+01 164.2363464887
9.7017483497e+03 4.8763123997e+01 164.3812370797
9.8037667534e+03 4.8685923859e+01 164.5237063452
9.9057851570e+03 4.8611068853e+01 164.6638071211
1.0007803561e+04 4.8538465095e+01 164.8015910802
1.0109821964e+04 4.8468023346e+01 164.9371087387
1.0211840368e+04 4.8399658742e+01 165.0704094647
1.0313858772e+04 4.8333290537e+01 165.2015414904
1.0415877175e+04 4.8268841868e+01 165.3305519249
1.0517895579e+04 4.8206239533e+01 165.4574867694
1.0619913983e+04 4.8145413781e+01 165.5823909341
1.0721932386e+04 4.8086298122e+01 165.7053082556
1.0823950790e+04 4.8028829144e+01 165.8262815159
1.0925969194e+04 4.7972946344e+01 165.9453524617
1.1027987598e+04 4.7918591970e+01 166.0625618246
1.1130006001e+04 4.7865710871e+01 166.1779493419
1.1232024405e+04 4.7814250361e+01 166.2915537770
1.1334042809e+04 4.7764160082e+01 166.4034129409
1.1436061212e+04 4.7715391890e+01 166.5135637134
1.1538079616e+04 4.7667899730e+01 166.6220420644
1.1640098020e+04 4.7621639537e+01 166.7288830751
1.1742116423e+04 4.7576569127e+01 166.8341209590
1.1844134827e+04 4.7532648106e+01 166.9377890833
1.1946153231e+04 4.7489837777e+01 167.0399199893
1.2048171634e+04 4.7448101057e+01 167.1405454131
1.2150190038e+04 4.7407402395e+01 167.2396963059
1.2252208442e+04 4.7367707699e+01 167.3374028540
1.2354226845e+04 4.7328984262e+01 167.4336944982
1.2456245249e+04 4.7291200700e+01 167.5285999533
1.2558263653e+04 4.7254326881e+01 167.6221472272
1.2660282056e+04 4.7218333873e+01 167.7143636389
1.2762300460e+04 4.7183193882e+01 167.8052758372
1.2864318864e+04 4.7148880200e+01 167.8949098182
1.2966337267e+04 4.7115367158e+01 167.9832909425
1.3068355671e+04 4.7082630071e+01 168.0704439527
1.3170374075e+04 4.7050645200e+01 168.1563929893
1.3272392478e+04 4.7019389706e+01 168.2411616075
1.3374410882e+04 4.6988841606e+01 168.3247727923
1.3476429286e+04 4.6958979743e+01 168.4072489744
1.3578447690e+04 4.6929783741e+01 168.4886120449
1.3680466093e+04 4.6901233975e+01 168.5688833699
1.3782484497e+04 4.6873311535e+01 168.6480838047
1.3884502901e+04 4.6845998201e+01 168.7262337077
1.3986521304e+04 4.6819276405e+01 168.8033529537
1.4088539708e+04 4.6793129210e+01 168.8794609470
1.4190558112e+04 4.6767540279e+01 168.9545766342
1.4292576515e+04 4.6742493850e+01 169.0287185163
1.4394594919e+04 4.6717974714e+01 169.1019046613
1.4496613323e+04 4.6693968192e+01 169.1741527152
1.4598631726e+04 4.6670460109e+01 169.2454799136
1.4700650130e+04 4.6647436778e+01 169.3159030929
1.4802668534e+04 4.6624884978e+01 169.3854387010
1.4904686937e+04 4.6602791934e+01 169.4541028073
1.5006705341e+04 4.6581145302e+01 169.5219111133
1.5108723745e+04 4.6559933148e+01 169.5888789622
1.5210742148e+04 4.6539143936e+01 169.6550213486
1.5312760552e+04 4.6518766508e+01 169.7203529273
1.5414778956e+04 4.6498790073e+01 169.7848880230
1.5516797359e+04 4.6479204190e+01 169.8486406386
1.5618815763e+04 4.6459998754e+01 169.9116244635
1.5720834167e+04 4.6441163987e+01 169.9738528825
1.5822852571e+04 4.6422690421e+01 170.0353389832
1.5924870974e+04 4.6404568888e+01 170.0960955640
1.6026889378e+04 4.6386790511e+01 170.1561351417
1.6128907782e+04 4.6369346687e+01 170.2154699587
1.6230926185e+04 4.6352229084e+01 170.2741119903
1.6332944589e+04 4.6335429627e+01 170.3320729513
1.6434962993e+04 4.6318940488e+01 170.3893643032
1.6536981396e+04 4.6302754078e+01 170.4459972602
1.6638999800e+04 4.6286863039e+01 170.5019827959
1.6741018204e+04 4.6271260236e+01 170.5573316493
1.6843036607e+04 4.6255938746e+01 170.6120543307
1.6945055011e+04 4.6240891853e+01 170.6661611277
1.7047073415e+04 4.6226113041e+01 170.7196621108
1.7149091818e+04 4.6211595986e+01 170.7725671387
1.7251110222e+04 4.6197334548e+01 170.8248858637
1.7353128626e+04 4.6183322766e+01 170.8766277371
1.7455147029e+04 4.6169554852e+01 170.9278020138
1.7557165433e+04 4.6156025186e+01 170.9784177575
1.7659183837e+04 4.6142728306e+01 171.0284838455
1.7761202240e+04 4.6129658908e+01 171.0780089729
1.7863220644e+04 4.6116811836e+01 171.1270016575
1.7965239048e+04 4.6104182081e+01 171.1754702441
1.8067257451e+04 4.6091764774e+01 171.2234229082
1.8169275855e+04 4.6079555179e+01 171.2708676610
1.8271294259e+04 4.6067548695e+01 171.3178123528
1.8373312663e+04 4.6055740845e+01 171.3642646769
1.8475331066e+04 4.6044127275e+01 171.4102321735
1.8577349470e+04 4.6032703750e+01 171.4557222336
1.8679367874e+04 4.6021466149e+01 171.5007421021
1.8781386277e+04 4.6010410462e+01 171.5452988817
1.8883404681e+04 4.5999532788e+01 171.5893995360
1.8985423085e+04 4.5988829329e+01 171.6330508930
1.9087441488e+04 4.5978296387e+01 171.6762596481
1.9189459892e+04 4.5967930361e+01 171.7190323673
1.9291478296e+04 4.5957727747e+01 171.7613754904
1.9393496699e+04 4.5947685131e+01 171.8032953336
1.9495515103e+04 4.5937799186e+01 171.8447980925
1.9597533507e+04 4.5928066675e+01 171.8858898452
1.9699551910e+04 4.5918484439e+01 171.9265765546
1.9801570314e+04 4.5909049404e+01 171.9668640710
1.9903588718e+04 4.5899758572e+01 172.0067581352
2.0005607121e+04 4.5890609022e+01 172.0462643805
2.0107625525e+04 4.5881597906e+01 172.0853883353
2.0209643929e+04 4.5872722446e+01 172.1241354255
2.0311662332e+04 4.5863979937e+01 172.1625109768
2.0413680736e+04 4.5855367737e+01 172.2005202170
2.0515699140e+04 4.5846883272e+01 172.2381682780
2.0617717544e+04 4.5838524030e+01 172.2754601982
2.0719735947e+04 4.5830287560e+01 172.3124009244
2.0821754351e+04 4.5822171471e+01 172.3489953137
2.0923772755e+04 4.5814173431e+01 172.3852481360
2.1025791158e+04 4.5806291163e+01 172.4211640754
2.1127809562e+04 4.5798522444e+01 172.4567477321
2.1229827966e+04 4.5790865106e+01 172.4920036245
2.1331846369e+04 4.5783317032e+01 172.5269361910
2.1433864773e+04 4.5775876153e+01 172.5615497913
2.1535883177e+04 4.5768540450e+01 172.5958487086
2.1637901580e+04 4.5761307953e+01 172.6298371509
2.1739919984e+04 4.5754176735e+01 172.6635192527
2.1841938388e+04 4.5747144915e+01 172.6968990768
2.1943956791e+04 4.5740210656e+01 172.7299806154
2.2045975195e+04 4.5733372163e+01 172.7627677919
2.2147993599e+04 4.5726627681e+01 172.7952644623
2.2250012002e+04 4.5719975496e+01 172.8274744165
2.2352030406e+04 4.5713413933e+01 172.8594013800
2.2454048810e+04 4.5706941354e+01 172.8910490146
2.2556067213e+04 4.5700556158e+01 172.9224209206
2.2658085617e+04 4.5694256781e+01 172.9535206372
2.2760104021e+04 4.5688041692e+01 172.9843516444
2.2862122424e+04 4.5681909395e+01 173.0149173640
2.2964140828e+04 4.5675858428e+01 173.0452211606
2.3066159232e+04 4.5669887358e+01 173.0752663432
2.3168177636e+04 4.5663994787e+01 173.1050561659
2.3270196039e+04 4.5658179345e+01 173.1345938291
2.3372214443e+04 4.5652439693e+01 173.1638824809
2.3474232847e+04 4.5646774520e+01 173.1929252178
2.3576251250e+04 4.5641182544e+01 173.2217250860
2.3678269654e+04 4.5635662510e+01 173.2502850820
2.3780288058e+04 4.5630213190e+01 173.2786081541
2.3882306461e+04 4.5624833382e+01 173.3066972029
2.3984324865e+04 4.5619521910e+01 173.3345550827
2.4086343269e+04 4.5614277621e+01 173.3621846020
2.4188361672e+04 4.5609099388e+01 173.3895885245
2.4290380076e+04 4.5603986107e+01 173.4167695703
2.4392398480e+04 4.5598936696e+01 173.4437304162
2.4494416883e+04 4.5593950098e+01 173.4704736970
2.4596435287e+04 4.5589025274e+01 173.4970020061
2.4698453691e+04 4.5584161209e+01 173.5233178964
2.4800472094e+04 4.5579356909e+01 173.5494238808
2.4902490498e+04 4.5574611398e+01 173.5753224334
2.5004508902e+04 4.5569923723e+01 173.6010159901
2.5106527305e+04 4.5565292947e+01 173.6265069490
2.5208545709e+04 4.5560718154e+01 173.6517976714
2.5310564113e+04 4.5556198445e+01 173.6768904828
2.5412582517e+04 4.5551732941e+01 173.7017876727
2.5514600920e+04 4.5547320778e+01 173.7264914963
2.5616619324e+04 4.5542961110e+01 173.7510041745
2.5718637728e+04 4.5538653109e+01 173.7753278944
2.5820656131e+04 4.5534395961e+01 173.7994648106
2.5922674535e+04 4.5530188870e+01 173.8234170453
2.6024692939e+04 4.5526031055e+01 173.8471866890
2.6126711342e+04 4.5521921749e+01 173.8707758011
2.6228729746e+04 4.5517860200e+01 173.8941864104
2.6330748150e+04 4.5513845673e+01 173.9174205159
2.6432766553e+04 4.5509877444e+01 173.9404800869
2.6534784957e+04 4.5505954805e+01 173.9633670642
2.6636803361e+04 4.5502077060e+01 173.9860833599
2.6738821764e+04 4.5498243527e+01 174.0086308583
2.6840840168e+04 4.5494453537e+01 174.0310114164
2.6942858572e+04 4.5490706433e+01 174.0532268644
2.7044876975e+04 4.5487001570e+01 174.0752790059
2.7146895379e+04 4.5483338318e+01 174.0971696188
2.7248913783e+04 4.5479716054e+01 174.1189004553
2.7350932186e+04 4.5476134170e+01 174.1404732428
2.7452950590e+04 4.5472592069e+01 174.1618896841
2.7554968994e+04 4.5469089163e+01 174.1831514577
2.7656987397e+04 4.5465624877e+01 174.2042602185
2.7759005801e+04 4.5462198645e+01 174.2252175981
2.7861024205e+04 4.5458809913e+01 174.2460252052
2.7963042609e+04 4.5455458135e+01 174.2666846258
2.8065061012e+04 4.5452142776e+01 174.2871974241
2.8167079416e+04 4.5448863311e+01 174.3075651424
2.8269097820e+04 4.5445619223e+01 174.3277893016
2.8371116223e+04 4.5442410006e+01 174.3478714015
2.8473134627e+04 4.5439235162e+01 174.3678129217
2.8575153031e+04 4.5436094202e+01 174.3876153209
2.8677171434e+04 4.5432986646e+01 174.4072800384
2.8779189838e+04 4.5429912021e+01 174.4268084935
2.8881208242e+04 4.5426869866e+01 174.4462020864
2.8983226645e+04 4.5423859723e+01 174.4654621983
2.9085245049e+04 4.5420881146e+01 174.4845901919
2.9187263453e+04 4.5417933695e+01 174.5035874112
2.9289281856e+04 4.5415016938e+01 174.5224551826
2.9391300260e+04 4.5412130450e+01 174.5411948145
2.9493318664e+04 4.5409273815e+01 174.5598075980
2.9595337067e+04 4.5406446622e+01 174.5782948069
2.9697355471e+04 4.5403648468e+01 174.5966576984
2.9799373875e+04 4.5400878957e+01 174.6148975128
2.9901392278e+04 4.5398137699e+01 174.6330154743
3.0003410682e+04 4.5395424312e+01 174.6510127909
3.0105429086e+04 4.5392738420e+01 174.6688906550
3.0207447489e+04 4.5390079651e+01 174.6866502433
3.0309465893e+04 4.5387447643e+01 174.7042927171
3.0411484297e+04 4.5384842037e+01 174.7218192229
3.0513502701e+04 4.5382262482e+01 174.7392308924
3.0615521104e+04 4.5379708631e+01 174.7565288425
3.0717539508e+04 4.5377180145e+01 174.7737141760
3.0819557912e+04 4.5374676689e+01 174.7907879814
3.0921576315e+04 4.5372197933e+01 174.8077513335
3.1023594719e+04 4.5369743554e+01 174.8246052933
3.1125613123e+04 4.5367313233e+01 174.8413509083
3.1227631526e+04 4.5364906658e+01 174.8579892130
3.1329649930e+04 4.5362523519e+01 174.8745212287
3.1431668334e+04 4.5360163513e+01 174.8909479638
3.1533686737e+04 4.5357826343e+01 174.9072704143
3.1635705141e+04 4.5355511715e+01 174.9234895635
3.1737723545e+04 4.5353219340e+01 174.9396063826
3.1839741948e+04 4.5350948933e+01 174.9556218309
3.1941760352e+04 4.5348700215e+01 174.9715368554
3.2043778756e+04 4.5346472910e+01 174.9873523919
3.2145797159e+04 4.5344266748e+01 175.0030693643
3.2247815563e+04 4.5342081462e+01 175.0186886855
3.2349833967e+04 4.5339916790e+01 175.0342112569
3.2451852370e+04 4.5337772473e+01 175.0496379692
3.2553870774e+04 4.5335648256e+01 175.0649697022
3.2655889178e+04 4.5333543890e+01 175.0802073248
3.2757907582e+04 4.5331459128e+01 175.0953516958
3.2859925985e+04 4.5329393728e+01 175.1104036633
3.2961944389e+04 4.5327347449e+01 175.1253640654
3.3063962793e+04 4.5325320058e+01 175.1402337300
3.3165981196e+04 4.5323311322e+01 175.1550134754
3.3267999600e+04 4.5321321014e+01 175.1697041099
3.3370018004e+04 4.5319348908e+01 175.1843064323
3.3472036407e+04 4.5317394783e+01 175.1988212318
3.3574054811e+04 4.5315458423e+01 175.2132492885
3.3676073215e+04 4.5313539611e+01 175.2275913731
3.3778091618e+04 4.5311638137e+01 175.2418482474
3.3880110022e+04 4.5309753792e+01 175.2560206643
3.3982128426e+04 4.5307886372e+01 175.2701093677
3.4084146829e+04 4.5306035674e+01 175.2841150931
3.4186165233e+04 4.5304201500e+01 175.2980385673
3.4288183637e+04 4.5302383653e+01 175.3118805087
3.4390202040e+04 4.5300581940e+01 175.3256416275
3.4492220444e+04 4.5298796171e+01 175.3393226256
3.4594238848e+04 4.5297026158e+01 175.3529241969
3.4696257251e+04 4.5295271717e+01 175.3664470273
3.4798275655e+04 4.5293532665e+01 175.3798917950
3.4900294059e+04 4.5291808823e+01 175.3932591704
3.5002312462e+04 4.5290100015e+01 175.4065498162
3.5104330866e+04 4.5288406066e+01 175.4197643878
3.5206349270e+04 4.5286726804e+01 175.4329035329
3.5308367674e+04 4.5285062060e+01 175.4459678922
3.5410386077e+04 4.5283411667e+01 175.4589580992
3.5512404481e+04 4.5281775461e+01 175.4718747800
3.5614422885e+04 4.5280153280e+01 175.4847185539
3.5716441288e+04 4.5278544964e+01 175.4974900335
3.5818459692e+04 4.5276950355e+01 175.5101898242
3.5920478096e+04 4.5275369298e+01 175.5228185249
3.6022496499e+04 4.5273801640e+01 175.5353767280
3.6124514903e+04 4.5272247230e+01 175.5478650191
3.6226533307e+04 4.5270705920e+01 175.5602839776
3.6328551710e+04 4.5269177562e+01 175.5726341765
3.6430570114e+04 4.5267662012e+01 175.5849161823
3.6532588518e+04 4.5266159127e+01 175.5971305557
3.6634606921e+04 4.5264668766e+01 175.6092778509
3.6736625325e+04 4.5263190792e+01 175.6213586166
3.6838643729e+04 4.5261725066e+01 175.6333733950
3.6940662132e+04 4.5260271454e+01 175.6453227229
3.7042680536e+04 4.5258829823e+01 175.6572071310
3.7144698940e+04 4.5257400041e+01 175.6690271445
3.7246717343e+04 4.5255981980e+01 175.6807832830
3.7348735747e+04 4.5254575511e+01 175.6924760603
3.7450754151e+04 4.5253180509e+01 175.7041059851
3.7552772555e+04 4.5251796848e+01 175.7156735604
3.7654790958e+04 4.5250424407e+01 175.7271792840
3.7756809362e+04 4.5249063065e+01 175.7386236484
3.7858827766e+04 4.5247712702e+01 175.7500071409
3.7960846169e+04 4.5246373201e+01 175.7613302438
3.8062864573e+04 4.5245044445e+01 175.7725934341
3.8164882977e+04 4.5243726320e+01 175.7837971840
3.8266901380e+04 4.5242418713e+01 175.7949419608
3.8368919784e+04 4.5241121512e+01 175.8060282268
3.8470938188e+04 4.5239834607e+01 175.8170564395
3.8572956591e+04 4.5238557889e+01 175.8280270519
3.8674974995e+04 4.5237291252e+01 175.8389405120
3.8776993399e+04 4.5236034589e+01 175.8497972634
3.8879011802e+04 4.5234787796e+01 175.8605977450
3.8981030206e+04 4.5233550769e+01 175.8713423915
