Frequenz Impedanz Phase
1.0000000000e+01 6.2834651826e-01 -90.1824271120
1.1201840368e+02 7.0733284814e+00 -90.0257926385
2.1403680736e+02 1.3695101040e+01 -90.0730900900
3.1605521104e+02 2.0666737296e+01 -90.2156574847
4.1807361472e+02 2.8185400392e+01 -90.5008383317
5.2009201840e+02 3.6487394198e+01 -90.9894022123
6.2211042208e+02 4.5867734525e+01 -91.7590289295
7.2412882577e+02 5.6706018094e+01 -92.9124775081
8.2614722945e+02 6.9499419429e+01 -94.5902953904
9.2816563313e+02 8.4898776855e+01 -96.9900665011
1.0301840368e+03 1.0372609018e+02 -100.3944052714
1.1322024405e+03 1.2689646939e+02 -105.2063922744
1.2342208442e+03 1.5501967518e+02 -111.9734804141
1.3362392478e+03 1.8719084539e+02 -121.3221651841
1.4382576515e+03 2.1865112343e+02 -133.6119590255
1.5402760552e+03 2.3979430794e+02 -148.1934153819
1.6422944589e+03 2.4259413492e+02 -163.0396198126
1.7443128626e+03 2.2936441194e+02 -175.9402222609
1.8463312663e+03 2.0893994788e+02 174.0474013348
1.9483496699e+03 1.8806082040e+02 166.7028748737
2.0503680736e+03 1.6953165672e+02 161.4147557725
2.1523864773e+03 1.5392430731e+02 157.6117320053
2.2544048810e+03 1.4098354933e+02 154.8659377231
2.3564232847e+03 1.3025635391e+02 152.8779092669
2.4584416883e+03 1.2130832596e+02 151.4409679770
2.5604600920e+03 1.1377912122e+02 150.4114452806
2.6624784957e+03 1.0738439215e+02 149.6879253300
2.7644968994e+03 1.0190338790e+02 149.1975197829
2.8665153031e+03 9.7165053772e+01 148.8868866261
2.9685337067e+03 9.3036212219e+01 148.7163140869
3.0705521104e+03 8.9412361383e+01 148.6557691576
3.1725705141e+03 8.6210748921e+01 148.6822138379
3.2745889178e+03 8.3365218621e+01 148.7777502256
3.3766073215e+03 8.0822380604e+01 148.9283161632
3.4786257251e+03 7.8538753601e+01 149.1227527384
3.5806441288e+03 7.6478618111e+01 149.3521271490
3.6826625325e+03 7.4612390466e+01 149.6092337777
3.7846809362e+03 7.2915380667e+01 149.8882215571
3.8866993399e+03 7.1366834965e+01 150.1843121357
3.9887177435e+03 6.9949191423e+01 150.4935842256
4.0907361472e+03 6.8647496123e+01 150.8128068063
4.1927545509e+03 6.7448941580e+01 151.1393088288
4.2947729546e+03 6.6342498890e+01 151.4708764959
4.3967913583e+03 6.5318622394e+01 151.8056715936
4.4988097620e+03 6.4369010847e+01 152.1421660510
4.6008281656e+03 6.3486412987e+01 152.4790891262
4.7028465693e+03 6.2664468226e+01 152.8153844964
4.8048649730e+03 6.1897575329e+01 153.1501751836
4.9068833767e+03 6.1180783532e+01 153.4827347209
5.0089017804e+03 6.0509701778e+01 153.8124633276
5.1109201840e+03 5.9880422664e+01 154.1388681272
5.2129385877e+03 5.9289458396e+01 154.4615466522
5.3149569914e+03 5.8733686610e+01 154.7801730311
5.4169753951e+03 5.8210304331e+01 155.0944863822
5.5189937988e+03 5.7716788691e+01 155.4042810252
5.6210122024e+03 5.7250863271e+01 155.7093982029
5.7230306061e+03 5.6810469154e+01 156.0097190583
5.8250490098e+03 5.6393739944e+01 156.3051586635
5.9270674135e+03 5.5998980130e+01 156.5956609288
6.0290858172e+03 5.5624646278e+01 156.8811942551
6.1311042208e+03 5.5269330647e+01 157.1617478132
6.2331226245e+03 5.4931746856e+01 157.4373283547
6.3351410282e+03 5.4610717319e+01 157.7079574743
6.4371594319e+03 5.4305162196e+01 157.9736692570
6.5391778356e+03 5.4014089657e+01 158.2345082543
6.6411962392e+03 5.3736587267e+01 158.4905277409
6.7432146429e+03 5.3471814367e+01 158.7417882138
6.8452330466e+03 5.3218995298e+01 158.9883560973
6.9472514503e+03 5.2977413373e+01 159.2303026280
7.0492698540e+03 5.2746405503e+01 159.4677028925
7.1512882577e+03 5.2525357392e+01 159.7006349991
7.2533066613e+03 5.2313699235e+01 159.9291793635
7.3553250650e+03 5.2110901855e+01 160.1534180944
7.4573434687e+03 5.1916473235e+01 160.3734344658
7.5593618724e+03 5.1729955393e+01 160.5893124630
7.6613802761e+03 5.1550921563e+01 160.8011363950
7.7633986797e+03 5.1378973646e+01 161.0089905621
7.8654170834e+03 5.1213739908e+01 161.2129589731
7.9674354871e+03 5.1054872889e+01 161.4131251053
