Frequenz Impedanz Phase
1.0000000000e+01 1.0000000000e+06 -180.0000000000
1.1201840368e+02 1.0000000000e+06 -180.0000000000
2.1403680736e+02 1.0000000000e+06 -180.0000000000
3.1605521104e+02 1.0000000000e+06 -180.0000000000
4.1807361472e+02 1.0000000000e+06 -180.0000000000
5.2009201840e+02 1.0000000000e+06 -180.0000000000
6.2211042208e+02 1.0000000000e+06 -180.0000000000
7.2412882577e+02 1.0000000000e+06 -180.0000000000
8.2614722945e+02 1.0000000000e+06 -180.0000000000
9.2816563313e+02 1.0000000000e+06 -180.0000000000
1.0301840368e+03 1.0000000000e+06 -180.0000000000
1.1322024405e+03 1.0000000000e+06 -180.0000000000
1.2342208442e+03 1.0000000000e+06 -180.0000000000
1.3362392478e+03 1.0000000000e+06 -180.0000000000
1.4382576515e+03 1.0000000000e+06 -180.0000000000
1.5402760552e+03 1.0000000000e+06 -180.0000000000
1.6422944589e+03 1.0000000000e+06 -180.0000000000
1.7443128626e+03 1.0000000000e+06 -180.0000000000
1.8463312663e+03 1.0000000000e+06 -180.0000000000
1.9483496699e+03 1.0000000000e+06 -180.0000000000
2.0503680736e+03 1.0000000000e+06 -180.0000000000
2.1523864773e+03 1.0000000000e+06 -180.0000000000
2.2544048810e+03 1.0000000000e+06 -180.0000000000
2.3564232847e+03 1.0000000000e+06 -180.0000000000
2.4584416883e+03 1.0000000000e+06 -180.0000000000
2.5604600920e+03 1.0000000000e+06 -180.0000000000
2.6624784957e+03 1.0000000000e+06 -180.0000000000
2.7644968994e+03 1.0000000000e+06 -180.0000000000
2.8665153031e+03 1.0000000000e+06 -180.0000000000
2.9685337067e+03 1.0000000000e+06 -180.0000000000
3.0705521104e+03 1.0000000000e+06 -180.0000000000
3.1725705141e+03 1.0000000000e+06 -180.0000000000
3.2745889178e+03 1.0000000000e+06 -180.0000000000
3.3766073215e+03 1.0000000000e+06 -180.0000000000
3.4786257251e+03 1.0000000000e+06 -180.0000000000
3.5806441288e+03 1.0000000000e+06 -180.0000000000
3.6826625325e+03 1.0000000000e+06 -180.0000000000
3.7846809362e+03 1.0000000000e+06 -180.0000000000
3.8866993399e+03 1.0000000000e+06 -180.0000000000
3.9887177435e+03 1.0000000000e+06 -180.0000000000
4.0907361472e+03 1.0000000000e+06 -180.0000000000
4.1927545509e+03 1.0000000000e+06 -180.0000000000
4.2947729546e+03 1.0000000000e+06 -180.0000000000
4.3967913583e+03 1.0000000000e+06 -180.0000000000
4.4988097620e+03 1.0000000000e+06 -180.0000000000
4.6008281656e+03 1.0000000000e+06 -180.0000000000
4.7028465693e+03 1.0000000000e+06 -180.0000000000
4.8048649730e+03 1.0000000000e+06 -180.0000000000
4.9068833767e+03 1.0000000000e+06 -180.0000000000
5.0089017804e+03 1.0000000000e+06 -180.0000000000
5.1109201840e+03 1.0000000000e+06 -180.0000000000
5.2129385877e+03 1.0000000000e+06 -180.0000000000
5.3149569914e+03 1.0000000000e+06 -180.0000000000
5.4169753951e+03 1.0000000000e+06 -180.0000000000
5.5189937988e+03 1.0000000000e+06 -180.0000000000
5.6210122024e+03 1.0000000000e+06 -180.0000000000
5.7230306061e+03 1.0000000000e+06 -180.0000000000
5.8250490098e+03 1.0000000000e+06 -180.0000000000
5.9270674135e+03 1.0000000000e+06 -180.0000000000
6.0290858172e+03 1.0000000000e+06 -180.0000000000
6.1311042208e+03 1.0000000000e+06 -180.0000000000
6.2331226245e+03 1.0000000000e+06 -180.0000000000
6.3351410282e+03 1.0000000000e+06 -180.0000000000
6.4371594319e+03 1.0000000000e+06 -180.0000000000
6.5391778356e+03 1.0000000000e+06 -180.0000000000
6.6411962392e+03 1.0000000000e+06 -180.0000000000
6.7432146429e+03 1.0000000000e+06 -180.0000000000
6.8452330466e+03 1.0000000000e+06 -180.0000000000
6.9472514503e+03 1.0000000000e+06 -180.0000000000
7.0492698540e+03 1.0000000000e+06 -180.0000000000
7.1512882577e+03 1.0000000000e+06 -180.0000000000
7.2533066613e+03 1.0000000000e+06 -180.0000000000
7.3553250650e+03 1.0000000000e+06 -180.0000000000
7.4573434687e+03 1.0000000000e+06 -180.0000000000
7.5593618724e+03 1.0000000000e+06 -180.0000000000
7.6613802761e+03 1.0000000000e+06 -180.0000000000
7.7633986797e+03 1.0000000000e+06 -180.0000000000
7.8654170834e+03 1.0000000000e+06 -180.0000000000
7.9674354871e+03 1.0000000000e+06 -180.0000000000
8.0694538908e+03 1.0000000000e+06 -180.0000000000
8.1714722945e+03 1.0000000000e+06 -180.0000000000
8.2734906981e+03 1.0000000000e+06 -180.0000000000
8.3755091018e+03 1.0000000000e+06 -180.0000000000
8.4775275055e+03 1.0000000000e+06 -180.0000000000
8.5795459092e+03 1.0000000000e+06 -180.0000000000
8.6815643129e+03 1.0000000000e+06 -180.0000000000
8.7835827165e+03 1.0000000000e+06 -180.0000000000
8.8856011202e+03 1.0000000000e+06 -180.0000000000
8.9876195239e+03 1.0000000000e+06 -180.0000000000
9.0896379276e+03 1.0000000000e+06 -180.0000000000
9.1916563313e+03 1.0000000000e+06 -180.0000000000
9.2936747349e+03 1.0000000000e+06 -180.0000000000
9.3956931386e+03 1.0000000000e+06 -180.0000000000
9.4977115423e+03 1.0000000000e+06 -180.0000000000
9.5997299460e+03 1.0000000000e+06 -180.0000000000
9.7017483497e+03 1.0000000000e+06 -180.0000000000
9.8037667534e+03 1.0000000000e+06 -180.0000000000
9.9057851570e+03 1.0000000000e+06 -180.0000000000
1.0007803561e+04 1.0000000000e+06 -180.0000000000
1.0109821964e+04 1.0000000000e+06 -180.0000000000
1.0211840368e+04 1.0000000000e+06 -180.0000000000
1.0313858772e+04 1.0000000000e+06 -180.0000000000
1.0415877175e+04 1.0000000000e+06 -180.0000000000
1.0517895579e+04 1.0000000000e+06 -180.0000000000
1.0619913983e+04 1.0000000000e+06 -180.0000000000
1.0721932386e+04 1.0000000000e+06 -180.0000000000
1.0823950790e+04 1.0000000000e+06 -180.0000000000
1.0925969194e+04 1.0000000000e+06 -180.0000000000
1.1027987598e+04 1.0000000000e+06 -180.0000000000
1.1130006001e+04 1.0000000000e+06 -180.0000000000
1.1232024405e+04 1.0000000000e+06 -180.0000000000
1.1334042809e+04 1.0000000000e+06 -180.0000000000
1.1436061212e+04 1.0000000000e+06 -180.0000000000
1.1538079616e+04 1.0000000000e+06 -180.0000000000
1.1640098020e+04 1.0000000000e+06 -180.0000000000
1.1742116423e+04 1.0000000000e+06 -180.0000000000
1.1844134827e+04 1.0000000000e+06 -180.0000000000
1.1946153231e+04 1.0000000000e+06 -180.0000000000
1.2048171634e+04 1.0000000000e+06 -180.0000000000
1.2150190038e+04 1.0000000000e+06 -180.0000000000
1.2252208442e+04 1.0000000000e+06 -180.0000000000
1.2354226845e+04 1.0000000000e+06 -180.0000000000
1.2456245249e+04 1.0000000000e+06 -180.0000000000
1.2558263653e+04 1.0000000000e+06 -180.0000000000
1.2660282056e+04 1.0000000000e+06 -180.0000000000
1.2762300460e+04 1.0000000000e+06 -180.0000000000
1.2864318864e+04 1.0000000000e+06 -180.0000000000
1.2966337267e+04 1.0000000000e+06 -180.0000000000
1.3068355671e+04 1.0000000000e+06 -180.0000000000
1.3170374075e+04 1.0000000000e+06 -180.0000000000
1.3272392478e+04 1.0000000000e+06 -180.0000000000
1.3374410882e+04 1.0000000000e+06 -180.0000000000
1.3476429286e+04 1.0000000000e+06 -180.0000000000
1.3578447690e+04 1.0000000000e+06 -180.0000000000
1.3680466093e+04 1.0000000000e+06 -180.0000000000
1.3782484497e+04 1.0000000000e+06 -180.0000000000
1.3884502901e+04 1.0000000000e+06 -180.0000000000
1.3986521304e+04 1.0000000000e+06 -180.0000000000
1.4088539708e+04 1.0000000000e+06 -180.0000000000
1.4190558112e+04 1.0000000000e+06 -180.0000000000
1.4292576515e+04 1.0000000000e+06 -180.0000000000
1.4394594919e+04 1.0000000000e+06 -180.0000000000
1.4496613323e+04 1.0000000000e+06 -180.0000000000
1.4598631726e+04 1.0000000000e+06 -180.0000000000
