Frequenz Impedanz Phase
1.0000000000e+01 9.9999999495e+05 -0.0057600000
1.1201840368e+02 9.9999936591e+05 -0.0645225732
2.1403680736e+02 9.9999768503e+05 -0.1232850108
3.1605521104e+02 9.9999495231e+05 -0.1820471889
4.1807361472e+02 9.9999116779e+05 -0.2408089842
5.2009201840e+02 9.9998633149e+05 -0.2995702728
6.2211042208e+02 9.9998044346e+05 -0.3583309312
7.2412882577e+02 9.9997350377e+05 -0.4170908359
8.2614722945e+02 9.9996551247e+05 -0.4758498632
9.2816563313e+02 9.9995646963e+05 -0.5346078896
1.0301840368e+03 9.9994637536e+05 -0.5933647915
1.1322024405e+03 9.9993522973e+05 -0.6521204453
1.2342208442e+03 9.9992303287e+05 -0.7108747275
1.3362392478e+03 9.9990978487e+05 -0.7696275147
1.4382576515e+03 9.9989548587e+05 -0.8283786833
1.5402760552e+03 9.9988013601e+05 -0.8871281098
1.6422944589e+03 9.9986373542e+05 -0.9458756708
1.7443128626e+03 9.9984628426e+05 -1.0046212428
1.8463312663e+03 9.9982778271e+05 -1.0633647025
1.9483496699e+03 9.9980823093e+05 -1.1221059265
2.0503680736e+03 9.9978762910e+05 -1.1808447914
2.1523864773e+03 9.9976597743e+05 -1.2395811738
2.2544048810e+03 9.9974327612e+05 -1.2983149506
2.3564232847e+03 9.9971952538e+05 -1.3570459985
2.4584416883e+03 9.9969472543e+05 -1.4157741942
2.5604600920e+03 9.9966887652e+05 -1.4744994145
2.6624784957e+03 9.9964197888e+05 -1.5332215364
2.7644968994e+03 9.9961403277e+05 -1.5919404366
2.8665153031e+03 9.9958503846e+05 -1.6506559921
2.9685337067e+03 9.9955499621e+05 -1.7093680800
3.0705521104e+03 9.9952390632e+05 -1.7680765772
3.1725705141e+03 9.9949176907e+05 -1.8267813607
3.2745889178e+03 9.9945858477e+05 -1.8854823077
3.3766073215e+03 9.9942435373e+05 -1.9441792954
3.4786257251e+03 9.9938907627e+05 -2.0028722009
3.5806441288e+03 9.9935275274e+05 -2.0615609015
3.6826625325e+03 9.9931538346e+05 -2.1202452745
3.7846809362e+03 9.9927696880e+05 -2.1789251974
3.8866993399e+03 9.9923750911e+05 -2.2376005474
3.9887177435e+03 9.9919700477e+05 -2.2962712021
4.0907361472e+03 9.9915545616e+05 -2.3549370391
4.1927545509e+03 9.9911286366e+05 -2.4135979358
4.2947729546e+03 9.9906922770e+05 -2.4722537701
4.3967913583e+03 9.9902454866e+05 -2.5309044195
4.4988097620e+03 9.9897882698e+05 -2.5895497620
4.6008281656e+03 9.9893206308e+05 -2.6481896753
4.7028465693e+03 9.9888425741e+05 -2.7068240374
4.8048649730e+03 9.9883541041e+05 -2.7654527262
4.9068833767e+03 9.9878552255e+05 -2.8240756199
5.0089017804e+03 9.9873459429e+05 -2.8826925966
5.1109201840e+03 9.9868262611e+05 -2.9413035344
5.2129385877e+03 9.9862961850e+05 -2.9999083118
5.3149569914e+03 9.9857557197e+05 -3.0585068069
5.4169753951e+03 9.9852048701e+05 -3.1170988984
5.5189937988e+03 9.9846436414e+05 -3.1756844646
5.6210122024e+03 9.9840720390e+05 -3.2342633843
5.7230306061e+03 9.9834900682e+05 -3.2928355361
5.8250490098e+03 9.9828977344e+05 -3.3514007987
5.9270674135e+03 9.9822950432e+05 -3.4099590510
6.0290858172e+03 9.9816820002e+05 -3.4685101721
6.1311042208e+03 9.9810586113e+05 -3.5270540408
6.2331226245e+03 9.9804248822e+05 -3.5855905364
6.3351410282e+03 9.9797808188e+05 -3.6441195380
6.4371594319e+03 9.9791264273e+05 -3.7026409250
6.5391778356e+03 9.9784617138e+05 -3.7611545768
6.6411962392e+03 9.9777866844e+05 -3.8196603728
6.7432146429e+03 9.9771013455e+05 -3.8781581927
6.8452330466e+03 9.9764057035e+05 -3.9366479162
6.9472514503e+03 9.9756997649e+05 -3.9951294231
7.0492698540e+03 9.9749835362e+05 -4.0536025932
7.1512882577e+03 9.9742570243e+05 -4.1120673066
7.2533066613e+03 9.9735202358e+05 -4.1705234435
7.3553250650e+03 9.9727731777e+05 -4.2289708839
7.4573434687e+03 9.9720158569e+05 -4.2874095083
