Freq.	V(n001)/I(V1)
1.00000000000000e+00	-4.00200057079298e+00,-3.32952628711737e-03
1.39998799976000e+00	-4.00200123874214e+00,-4.66132850603908e-03
1.79997599951999e+00	-4.00200212937618e+00,-5.99316238391167e-03
2.19996399927999e+00	-4.00200324272896e+00,-7.32503697110890e-03
2.59995199903998e+00	-4.00200457884441e+00,-8.65696131160656e-03
2.99993999879998e+00	-4.00200613777371e+00,-9.98894446036580e-03
3.39992799855997e+00	-4.00200791957764e+00,-1.13209954654559e-02
3.79991599831997e+00	-4.00200992432556e+00,-1.26531233827124e-02
4.19990399807996e+00	-4.00201215209503e+00,-1.39853372692286e-02
4.59989199783996e+00	-4.00201460297261e+00,-1.53176461836829e-02
4.99987999759995e+00	-4.00201727705355e+00,-1.66500591887080e-02
5.39986799735995e+00	-4.00202017444155e+00,-1.79825853503018e-02
5.79985599711994e+00	-4.00202329524925e+00,-1.93152337381541e-02
6.19984399687994e+00	-4.00202663959782e+00,-2.06480134255106e-02
6.59983199663993e+00	-4.00203020761718e+00,-2.19809334904090e-02
6.99981999639993e+00	-4.00203399944605e+00,-2.33140030139540e-02
7.39980799615992e+00	-4.00203801523174e+00,-2.46472310843944e-02
7.79979599591992e+00	-4.00204225513035e+00,-2.59806267931245e-02
8.19978399567991e+00	-4.00204671930676e+00,-2.73141992380799e-02
8.59977199543991e+00	-4.00205140793458e+00,-2.86479575218993e-02
8.99975999519990e+00	-4.00205632119617e+00,-2.99819107541837e-02
9.39974799495990e+00	-4.00206145928269e+00,-3.13160680504549e-02
9.79973599471989e+00	-4.00206682239414e+00,-3.26504385324821e-02
1.01997239944799e+01	-4.00207241073926e+00,-3.39850313296281e-02
1.05997119942399e+01	-4.00207822453569e+00,-3.53198555773572e-02
1.09996999939999e+01	-4.00208426400985e+00,-3.66549204196064e-02
1.13996879937599e+01	-4.00209052939710e+00,-3.79902350076343e-02
1.17996759935199e+01	-4.00209702094155e+00,-3.93258085011412e-02
