Freq.	V(n001)/I(V1)
1.00000000000000e+01	-9.99946707970565e+01,6.28273326818953e-01
1.12018403680736e+02	-9.93372207294849e+01,6.97534833664028e+00
2.14036807361472e+02	-9.76363324825472e+01,1.30191996159986e+01
3.16055211042208e+02	-9.50331970720772e+01,1.85267967190623e+01
4.18073614722945e+02	-9.17252611146488e+01,2.33339306058020e+01
5.20092018403681e+02	-8.79323120402614e+01,2.73545922861020e+01
6.22110422084417e+02	-8.38660226279919e+01,3.05745680120438e+01
7.24128825765153e+02	-7.97089621287273e+01,3.30350363163577e+01
8.26147229445889e+02	-7.56044407278727e+01,3.48128590093107e+01
9.28165633126625e+02	-7.16552341751416e+01,3.60025906520181e+01
1.03018403680736e+03	-6.79279330445778e+01,3.67027408318714e+01
1.13220244048810e+03	-6.44598743526955e+01,3.70067746334930e+01
1.23422084416883e+03	-6.12665048918888e+01,3.69981640422324e+01
1.33623924784957e+03	-5.83479725059589e+01,3.67483873872666e+01
1.43825765153031e+03	-5.56944569425835e+01,3.63168133612320e+01
1.54027605521104e+03	-5.32901870643077e+01,3.57516365904730e+01
1.64229445889178e+03	-5.11163047671630e+01,3.50912923967576e+01
1.74431286257251e+03	-4.91528086995376e+01,3.43659970276325e+01
1.84633126625325e+03	-4.73798086028824e+01,3.35992174413744e+01
1.94834966993399e+03	-4.57782866690915e+01,3.28089776304856e+01
2.05036807361472e+03	-4.43305195573372e+01,3.20089700743246e+01
2.15238647729546e+03	-4.30202749170256e+01,3.12094746188602e+01
2.25440488097620e+03	-4.18328635574525e+01,3.04181033530379e+01
2.35642328465693e+03	-4.07551033542063e+01,2.96403961525585e+01
2.45844168833767e+03	-3.97752326499415e+01,2.88802921628823e+01
2.56046009201840e+03	-3.88827979168574e+01,2.81405004190610e+01
2.66247849569914e+03	-3.80685314681397e+01,2.74227896653934e+01
2.76449689937988e+03	-3.73242289247945e+01,2.67282141079967e+01
2.86651530306061e+03	-3.66426321046141e+01,2.60572887306009e+01
2.96853370674135e+03	-3.60173203687907e+01,2.54101251014233e+01
3.07055211042209e+03	-3.54426117865817e+01,2.47865363375261e+01
3.17257051410282e+03	-3.49134744429875e+01,2.41861180483892e+01
3.27458891778356e+03	-3.44254476008220e+01,2.36083106011087e+01
3.37660732146430e+03	-3.39745720888734e+01,2.30524468769338e+01
3.47862572514503e+03	-3.35573291226903e+01,2.25177887665434e+01
3.58064412882577e+03	-3.31705867078226e+01,2.20035549299426e+01
3.68266253250650e+03	-3.28115527837015e+01,2.15089417844018e+01
3.78468093618724e+03	-3.24777343115980e+01,2.10331392463619e+01
3.88669933986798e+03	-3.21669015742665e+01,2.05753424133474e+01
3.98871774354871e+03	-3.18770570267374e+01,2.01347601080069e+01
4.09073614722945e+03	-3.16064081104412e+01,1.97106210014715e+01
4.19275455091019e+03	-3.13533435125140e+01,1.93021778740289e+01
4.29477295459092e+03	-3.11164124166241e+01,1.89087104473662e+01
4.39679135827166e+03	-3.08943063500649e+01,1.85295271263701e+01
4.49880976195239e+03	-3.06858432839158e+01,1.81639659135145e+01
4.60082816563313e+03	-3.04899536889836e+01,1.78113947004412e+01
4.70284656931387e+03	-3.03056682904070e+01,1.74712110957628e+01
4.80486497299460e+03	-3.01321072987434e+01,1.71428419125312e+01
4.90688337667534e+03	-2.99684709256365e+01,1.68257424110098e+01
5.00890178035607e+03	-2.98140310183125e+01,1.65193953706480e+01
5.11092018403681e+03	-2.96681236696988e+01,1.62233100481549e+01
5.21293858771755e+03	-2.95301426803746e+01,1.59370210652745e+01
5.31495699139828e+03	-2.93995337652629e+01,1.56600872594577e+01
5.41697539507902e+03	-2.92757894123396e+01,1.53920905225065e+01
5.51899379875975e+03	-2.91584443129923e+01,1.51326346459114e+01
5.62101220244049e+03	-2.90470712942918e+01,1.48813441866592e+01
5.72303060612122e+03	-2.89412776925918e+01,1.46378633634374e+01
5.82504900980196e+03	-2.88407021157556e+01,1.44018549901738e+01
5.92706741348270e+03	-2.87450115481077e+01,1.41729994515436e+01
6.02908581716343e+03	-2.86538987580735e+01,1.39509937233025e+01
6.13110422084417e+03	-2.85670799735411e+01,1.37355504389467e+01
6.23312262452490e+03	-2.84842927943607e+01,1.35263970031782e+01
6.33514102820564e+03	-2.84052943151983e+01,1.33232747518827e+01
6.43715943188638e+03	-2.83298594352479e+01,1.31259381577631e+01
6.53917783556711e+03	-2.82577793341695e+01,1.29341540803633e+01
6.64119623924785e+03	-2.81888600961023e+01,1.27477010589300e+01
6.74321464292858e+03	-2.81229214657668e+01,1.25663686463712e+01
6.84523304660932e+03	-2.80597957225560e+01,1.23899567824522e+01
6.94725145029006e+03	-2.79993266601613e+01,1.22182752043101e+01
7.04926985397079e+03	-2.79413686607172e+01,1.20511428923467e+01
7.15128825765153e+03	-2.78857858537098e+01,1.18883875495770e+01
7.25330666133226e+03	-2.78324513509956e+01,1.17298451125444e+01
7.35532506501300e+03	-2.77812465502487e+01,1.15753592919704e+01
7.45734346869374e+03	-2.77320605000025e+01,1.14247811413708e+01
7.55936187237447e+03	-2.76847893202046e+01,1.12779686519444e+01
7.66138027605521e+03	-2.76393356728607e+01,1.11347863721220e+01
7.76339867973594e+03	-2.75956082779283e+01,1.09951050502398e+01
7.86541708341668e+03	-2.75535214701333e+01,1.08588012988876e+01
7.96743548709741e+03	-2.75129947928391e+01,1.07257572795610e+01
8.06945389077815e+03	-2.74739526255014e+01,1.05958604063283e+01
8.17147229445889e+03	-2.74363238415972e+01,1.04690030672982e+01
8.27349069813962e+03	-2.74000414942367e+01,1.03450823627492e+01
8.37550910182036e+03	-2.73650425269464e+01,1.02239998588562e+01
8.47752750550110e+03	-2.73312675073648e+01,1.01056613560102e+01
8.57954590918183e+03	-2.72986603818146e+01,9.98997667080086e+00
8.68156431286257e+03	-2.72671682489159e+01,9.87685943078385e+00
8.78358271654331e+03	-2.72367411505821e+01,9.76622688121758e+00
8.88560112022404e+03	-2.72073318789003e+01,9.65799970300610e+00
8.98761952390478e+03	-2.71788957975409e+01,9.55210184113522e+00
9.08963792758552e+03	-2.71513906764687e+01,9.44846034293690e+00
9.19165633126625e+03	-2.71247765388417e+01,9.34700520556092e+00
9.29367473494699e+03	-2.70990155190884e+01,9.24766923207464e+00
9.39569313862773e+03	-2.70740717312462e+01,9.15038789565009e+00
9.49771154230847e+03	-2.70499111467256e+01,9.05509921133388e+00
9.59972994598920e+03	-2.70265014807423e+01,8.96174361492895e+00
9.70174834966994e+03	-2.70038120867259e+01,8.87026384854886e+00
9.80376675335068e+03	-2.69818138580739e+01,8.78060485243430e+00
9.90578515703141e+03	-2.69604791366760e+01,8.69271366264872e+00
1.00078035607121e+04	-2.69397816276847e+01,8.60653931429563e+00
1.01098219643929e+04	-2.69196963200505e+01,8.52203274992332e+00
1.02118403680736e+04	-2.69001994123830e+01,8.43914673280513e+00
1.03138587717544e+04	-2.68812682437369e+01,8.35783576480349e+00
1.04158771754351e+04	-2.68628812289524e+01,8.27805600854524e+00
1.05178955791158e+04	-2.68450177982140e+01,8.19976521365342e+00
1.06199139827966e+04	-2.68276583405164e+01,8.12292264679706e+00
1.07219323864773e+04	-2.68107841507538e+01,8.04748902533612e+00
